检查主体,检查类别,检查单号,检查日期,被检查单位或个人名称,检查结果
北京市民政局,行政检查,202102ST006,2021.12.10,北京市重点站区志愿服务协会（社会团体）,合格
北京市民政局,行政检查,202102ZY001,2021.12.10,北京市重点站区志愿服务协会（志愿服务组织）,合格
北京市民政局,行政检查,202102QH004,2021.12.13,门房线4号（界桩）,合格
北京市民政局,行政检查,2021S030003,2021.12.16,北京经贸职业学院,合格
北京市民政局,行政检查,20210300012,2021.12.16,昌怀线2（界桩）,合格
北京市民政局,行政检查,20210300013,2021.12.16,首都无偿献血志愿者协会,合格
北京市民政局,行政检查,20210300014,2021.12.16,高某（彩票网点编号11156004）,合格
北京市民政局,行政检查,20210300015,2021.12.16,刘某某（彩票网点编号11116004）,合格
北京市民政局,行政检查,2021S030005,2021.12.16,北京永乐汇足球俱乐部,合格
北京市民政局,行政检查,2021S030006,2021.12.16,首都保健营养美食学会,不合格
北京市民政局,行政检查,2021S030007,2021.12.17,北京天津文化艺术基金会,合格
北京市民政局,行政检查,2021S030009,2021.12.17,北京信鸽衍生品协会,合格
北京市民政局,行政检查,2021S030010,2021.12.17,北京民泰公益基金会,合格
北京市民政局,行政检查,20210300017,2021.12.17,北京志愿服务发展研究会,合格
北京市民政局,行政检查,2021S030011,2021.12.17,北京莆田湄洲湾北岸企业商会,不合格
北京市民政局,行政检查,2021S030012,2021.12.20,北京市飞镖协会,合格
北京市民政局,行政检查,2021S030013,2021.12.23,北京邯郸企业商会,不合格
北京市民政局,行政检查,2021S030014,2021.12.23,北京市慈善义工文化艺术促进中心,不合格
北京市民政局,行政检查,2021S030015,2021.12.24,北京保护健康协会,合格
北京市民政局,行政检查,20220100001,2022.3.14,北京市万安公墓,合格
北京市民政局,行政检查,20220100002,2022.3.15,北京八宝山礼仪有限公司外侨公墓西静园墓园,合格
北京市民政局,行政检查,20220100003,2022.3.15,北京市殡葬服务中心（东北义园）,合格
北京市民政局,行政检查,20220100004,2022.3.16,北京市金山陵园,合格
北京市民政局,行政检查,20220100005,2022.3.16,北京市长安园公墓有限责任公司,合格
北京市民政局,行政检查,20220100006,2022.3.17,北京市殡葬服务中心（西北旺公墓）,合格
北京市民政局,行政检查,20220100007,2022.3.17,北京八宝山礼仪有限公司温泉墓园,合格
北京市民政局,行政检查,20220100008,2022.3.19,北京八宝山礼仪有限公司宝云岭墓园,合格
北京市民政局,行政检查,202202001,2022.3.23,北京市房山区静安墓园管理处,合格
北京市民政局,行政检查,202202002,2022.3.23,北京八宝山礼仪有限公司太子峪陵园,合格
北京市民政局,行政检查,GM20020401,2022.3.23,北京万佛华侨陵园有限公司,合格
北京市民政局,行政检查,GM20020402,2022.3.23,北京市门头沟区殡仪馆,合格
北京市民政局,行政检查,202205S001,2022.3.24,王某某（彩票网点编号11105812）,合格
北京市民政局,行政检查,202205S002,2022.3.24,熊某某（彩票网点编号14502900-S）,合格
北京市民政局,行政检查,202205S003,2022.3.24,吉某某（彩票网点编号11125539）,合格
北京市民政局,行政检查,202205S004,2022.3.24,石某某（彩票网点编号11125081）,合格
北京市民政局,行政检查,202202003,2022.3.26,北京市回民殡葬管理处,合格
北京市民政局,行政检查,GM20020403,2022.3.26,北京八宝山礼仪有限公司福田公墓,合格
