育种者,申请者,登记编号,作物名称,品种名称
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2019)110068,大白菜,君胜60
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2019)110086,大白菜,君胜55
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2019)110400,大白菜,君川力寒
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2019)110401,大白菜,君川金旺
北京君川种业科技有限公司,北京君川种业科技有限公司,GPD大白菜(2019)110402,大白菜,君川夏喜
北京百欧通种子有限公司,北京百欧通种子有限公司,GPD大白菜(2020)110234,大白菜,NH金皇后
北京硕源种子有限公司,北京硕源种子有限公司,GPD大白菜(2020)110255,大白菜,黄金快菜
北京硕源种子有限公司,北京硕源种子有限公司,GPD大白菜(2020)110256,大白菜,白玉快菜
北京绿正丰农业科技有限公司,北京绿正丰农业科技有限公司,GPD大白菜(2020)110446,大白菜,金星娃娃菜
北京百欧通种子有限公司,北京百欧通种子有限公司,GPD大白菜(2020)110492,大白菜,春丽黄
北京百欧通种子有限公司,北京百欧通种子有限公司,GPD大白菜(2020)110493,大白菜,金刚盾
中国农业科学院蔬菜花卉研究所;广西壮族自治区农业科学院,中国农业科学院蔬菜花卉研究所;广西壮族自治区农业科学院,GPD大白菜(2022)110213,大白菜,春小宝252
北京奥新高科种子科技有限公司,北京奥新高科种子科技有限公司,GPD甜瓜(2018)110757,甜瓜,晶甜1号
北京奥新高科种子科技有限公司,北京奥新高科种子科技有限公司,GPD甜瓜(2018)110758,甜瓜,晶甜脆宝
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD番茄(2018)110064,番茄,拉比
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD番茄(2018)110065,番茄,瑞菲
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD番茄(2018)110066,番茄,凯萨
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD番茄(2018)110067,番茄,倍盈
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD番茄(2018)110068,番茄,奥诺
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD番茄(2018)110069,番茄,粉倍盈
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD番茄(2018)110370,番茄,齐达利
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD番茄(2018)110575,番茄,茱丽
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD番茄(2018)110700,番茄,凯文
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD番茄(2018)110836,番茄,思贝德
北京中研益农种苗科技有限公司,北京中研益农种苗科技有限公司,GPD番茄(2018)110871,番茄,意佰芬5号
北京中研益农种苗科技有限公司,北京中研益农种苗科技有限公司,GPD番茄(2018)110872,番茄,中研TV1
北京奥新高科种子科技有限公司,北京奥新高科种子科技有限公司,GPD番茄(2018)110916,番茄,甜蓓
北京现代农夫种苗科技有限公司,北京现代农夫种苗科技有限公司,GPD番茄(2019)110378,番茄,京采6号
北京现代农夫种苗科技有限公司,北京现代农夫种苗科技有限公司,GPD番茄(2019)110379,番茄,京采8号
北京现代农夫种苗科技有限公司,北京现代农夫种苗科技有限公司,GPD番茄(2019)110380,番茄,京采201
北京现代农夫种苗科技有限公司,北京现代农夫种苗科技有限公司,GPD番茄(2019)110381,番茄,佳番1号
北京现代农夫种苗科技有限公司,北京现代农夫种苗科技有限公司,GPD番茄(2019)110382,番茄,亿番1号
先正达种苗(北京）有限公司,先正达种苗(北京）有限公司,GPD番茄(2019)110463,番茄,冬暖
北京德利田丰农业科技有限公司,北京德利田丰农业科技有限公司,GPD向日葵(2021)110011,向日葵,GC678
北京市农林科学院蔬菜研究中心,北京市农林科学院蔬菜研究中心,GPD大白菜(2021)110263,大白菜,京秋1518
北京市农林科学院蔬菜研究中心,北京市农林科学院蔬菜研究中心,GPD大白菜(2022)110051,大白菜,京箭70
北京市农林科学院蔬菜研究中心,北京市农林科学院蔬菜研究中心,GPD大白菜(2022)110113,大白菜,京秋1511
北京大一韩日国际种苗有限公司,北京大一韩日国际种苗有限公司,GPD大白菜(2022)110202,大白菜,秋雅
北京大一韩日国际种苗有限公司,北京大一韩日国际种苗有限公司,GPD大白菜(2022)110203,大白菜,CR金鑫
北京东方商友贸易有限公司,北京东方商友贸易有限公司,GPD番茄(2021)110027,番茄,东方美
海泽拉启明种业（北京）有限公司,海泽拉启明种业（北京）有限公司,GPD番茄(2021)110054,番茄,瑞拉
海泽拉启明种业（北京）有限公司,海泽拉启明种业（北京）有限公司,GPD番茄(2021)110055,番茄,秋恋
北京东方商友贸易有限公司,北京东方商友贸易有限公司,GPD番茄(2021)110250,番茄,宝发666
海泽拉启明种业（北京）有限公司,海泽拉启明种业（北京）有限公司,GPD番茄(2022)110008,番茄,福莱辛
海泽拉启明种业（北京）有限公司,海泽拉启明种业（北京）有限公司,GPD番茄(2022)110029,番茄,福拉3661
海泽拉启明种业（北京）有限公司,海泽拉启明种业（北京）有限公司,GPD番茄(2022)110196,番茄,晗玉522
海泽拉启明种业（北京）有限公司,海泽拉启明种业（北京）有限公司,GPD番茄(2022)110240,番茄,艾妮拉
北京万丰农研科技有限公司;河北沃瑞德农业科技有限公司,北京万丰农研科技有限公司;河北沃瑞德农业科技有限公司,GPD西瓜(2020)110658,西瓜,万沃2号
北京东方商友贸易有限公司,北京东方商友贸易有限公司,GPD西瓜(2021)110010,西瓜,万美
北京东方商友贸易有限公司,北京东方商友贸易有限公司,GPD西瓜(2021)110094,西瓜,正鸿119
北京圣先福农种子有限公司,北京圣先福农种子有限公司,GPD西瓜(2021)110138,西瓜,锦福
北京大一韩日国际种苗有限公司,北京大一韩日国际种苗有限公司,GPD辣椒(2020)111223,辣椒,卓越金线
北京大一韩日国际种苗有限公司,北京大一韩日国际种苗有限公司,GPD辣椒(2020)111224,辣椒,一阳指
海泽拉启明种业（北京）有限公司,海泽拉启明种业（北京）有限公司,GPD辣椒(2022)110299,辣椒,星玛克
北京大一韩日国际种苗有限公司,北京大一韩日国际种苗有限公司,GPD辣椒(2022)110474,辣椒,红贵211
北京大一韩日国际种苗有限公司,北京大一韩日国际种苗有限公司,GPD辣椒(2022)110475,辣椒,贞品椒艳
北京大一韩日国际种苗有限公司,北京大一韩日国际种苗有限公司,GPD辣椒(2022)110595,辣椒,鼎红507
北京大一韩日国际种苗有限公司,北京大一韩日国际种苗有限公司,GPD辣椒(2022)110641,辣椒,星耀
海泽拉启明种业（北京）有限公司,海泽拉启明种业（北京）有限公司,GPD黄瓜(2021)110019,黄瓜,斯托克
海泽拉启明种业（北京）有限公司,海泽拉启明种业（北京）有限公司,GPD黄瓜(2021)110110,黄瓜,格美莱
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2017)110046,大白菜,北京75号
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2017)110047,大白菜,京秋4号
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2017)110049,大白菜,京秋3号
京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,京研益农（北京）种业科技有限公司;北京市农林科学院蔬菜研究中心,GPD大白菜(2017)110050,大白菜,新三号
