项目名称,预售证号,开发企业,委托销售机构,违规事项,公示时间
幸福阳光,,北京无限置业有限公司,北京赢嘉联行房地产经纪有限公司,该公司未取得预售许可证擅自预售幸福阳光小区。  ,2007/6/7 0:00
鹏达锦园,,北京旺丰翔房地产开发有限公司,未办理销售机构备案,该公司未取得预售许可证擅自预售鹏达锦园小区。  ,2007/6/7 0:00
温泉馨苑,,北京中天鸿森房地产开发有限公司,自行销售,该公司2003年未取得预售许可证擅自预售温泉馨苑小区20#楼3单元203房屋。  ,2007/6/7 0:00
都市之光恋日嘉园,京房售证字(2005)415号,北京市华野房地产开发有限公司,自行销售,该公司B区6#楼因工程施工合同纠纷导致未按购房合同约定的期限交房，引发购房人集体上访。  ,2007/6/7 0:00
褐石园,京房售证字(2006)567号,北京泰跃房地产开发有限责任公司,自行销售,该公司褐石园小区21号楼不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2007/6/7 0:00
海润大厦,京房售证字(2003)207号,北京凯迪宝房地产开发有限公司,自行销售,该公司海润大厦项目不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2007/6/7 0:00
慧科大厦,京房售证字(2006)67号,北京市祺洋房地产开发有限责任公司,未办理销售机构备案,该公司开发的慧科大厦项目未按规定进行网上签约且擅自销售法院查封的房屋。  ,2007/6/7 0:00
富力桃园,京房售证字(2007)58号,北京鸿高置业发展有限公司,自行销售,该公司开发的富力桃园项目A9-A11楼未按时开盘，无理拒绝消费者的购房要求。  ,2007/6/7 0:00
嘉裕苑,京房售证字(并)333号,嘉裕房地产开发有限公司,北京协成房地产经纪有限责任公司,该公司嘉林海德大道项目未按照退房协议的约定退还房价款。  ,2007/6/7 0:00
金果林家园,,北京荣鹏房地产开发有限公司,自行销售,该公司未取得预售许可证擅自预售金果林家园小区。  ,2007/3/20 0:00
蓝天花园小区,,北京蓝天家园房地产开发有限公司,北京安居正业投资顾问有限公司,该公司未取得预售许可证擅自预售蓝天花园小区。  ,2007/3/20 0:00
山水汇豪苑,京房售证字(2006)558号,北京汇豪房地产开发建设有限公司,北京世纪财富房地产经纪有限公司,该公司山水汇豪苑16#楼不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2007/3/20 0:00
珠光御景嘉园,京房售证字(2006)85号,北京全营房地产开发有限公司,自行销售,该公司珠光御景嘉园14#楼不进行网上认购，向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2007/3/20 0:00
南湖中园711#楼,京房售证字(2006)436号,北京城市开发集团有限责任公司,北京思源兴业房地产经纪有限公司,该公司开发的知语城711#向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2007/3/20 0:00
茗筑大厦,京房售证字(2006)574号,北京大厚房地产开发有限责任公司,自行销售,该公司开发的茗筑大厦向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2007/3/20 0:00
西豪逸景家园,京房售证字(2006)294号,北京宣福房地产开发有限责任公司,北京富润物业管理有限公司,该公司开发的西豪逸景家园向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2007/3/20 0:00
东亚京华大厦,京房售证字(2006)545号,北京卓越创业房地产开发有限公司,自行销售,该公司开发的东亚京华大厦向消费者公布与交易网公示楼盘状态不符的销售情况。  ,2007/3/20 0:00
京棉新城A3区T1、T2楼及1#配套公建等2项,京房售证字(2006)393号,北京方晟房地产开发有限责任公司,北京亚豪世纪房地产经纪有限公司,该公司开发的京棉新城海华堂A3区T1楼在签订买卖合同补充协议中不合理地减轻或免除应当由开发企业承担的责任或不合理地加重买受人责任、排除买受人主要权利内容。  ,2007/3/20 0:00
兴城嘉园写字楼,京房售证字(2006)506号,北京方正房地产开发有限公司,自行销售,该公司开发的兴城嘉园写字楼在签订买卖合同补充协议中不合理地减轻或免除应当由开发企业承担的责任或不合理地加重买受人责任、排除买受人主要权利内容。  ,2007/3/20 0:00
望馨园小区8#商业楼,,北京望馨置业有限公司,未办理销售机构注册备案,该公司未取得预售许可证擅自预售望馨园小区8#商业楼。  ,2006/12/26 0:00
周庄新村B区,,北京凯亚房地产开发有限公司,未办理销售机构注册备案,该公司未取得预售许可证擅自预售周庄新村B区A8幢08号。  ,2006/12/26 0:00
现代花园,京房售证字(并)173号,北京德华房地产开发有限公司,自行销售,该公司现代花园金富楼利用伪造预售预购登记备案章进行部分商品房预售合同登记备案手续。  ,2006/12/26 0:00
