2022年1-10月北京市专利授权量超百件专利权人名单统计,,,
排序,权利人名称,合计
182,中国华能集团清洁能源技术研究院有限公司,318
183,中国农业科学院农业资源与农业区划研究所,318
184,中国移动通信集团设计院有限公司,317
185,北京农业智能装备技术研究中心,315
186,北京汽车集团越野车有限公司,315
187,中国人民解放军军事科学院国防科技创新研究院,315
188,北京海新能源科技股份有限公司,308
189,掌阅科技股份有限公司,305
190,用友网络科技股份有限公司,304
191,汉王科技股份有限公司,303
192,北京世纪好未来教育科技有限公司,300
193,中国海洋石油总公司,296
194,核工业北京地质研究院,295
195,北京智谷技术服务有限公司,294
196,国家石油天然气管网集团有限公司,293
197,中国航空工业集团公司北京长城计量测试技术研究所,293
198,北京深思数盾科技股份有限公司,290
199,北京新媒传信科技有限公司,290
200,中国农业科学院生物技术研究所,290
201,中国检验检疫科学研究院,289
202,中国科学院光电研究院,287
203,北京谊安医疗系统股份有限公司,286
204,北京长城华冠汽车科技股份有限公司,282
205,北京普源精电科技有限公司,281
206,北京自动化控制设备研究所,277
207,北京宝沃汽车有限公司,274
208,阿波罗智能技术（北京）有限公司,272
209,北京安云世纪科技有限公司,270
210,北京神州泰岳软件股份有限公司,270
211,中国医学科学院北京协和医院,269
212,中国移动通信集团北京有限公司,265
213,中冶建筑研究总院有限公司,265
214,绿盟科技集团股份有限公司,262
215,神雾科技集团股份有限公司,262
216,中国石化工程建设有限公司,262
217,北京动力机械研究所,255
218,京东科技控股股份有限公司,255
219,北京联合大学,253
220,北京锐安科技有限公司,252
221,北京首钢股份有限公司,251
222,中国人民解放军战略支援部队航天工程大学,247
223,北京航星机器制造有限公司,246
224,展讯通信（上海）有限公司,245
225,中国医学科学院医药生物技术研究所,245
226,北京四维图新科技股份有限公司,244
227,阿波罗智联（北京）科技有限公司,241
228,中国科学院植物研究所,241
229,北京卫星制造厂,235
230,北京握奇数据股份有限公司,234
231,国电联合动力技术有限公司,234
232,北京计算机技术及应用研究所,232
233,中国农业科学院蔬菜花卉研究所,231
234,三六零数字安全科技集团有限公司,228
235,中国石油化工集团有限公司,227
236,中科寒武纪科技股份有限公司,227
237,阿里巴巴（中国）有限公司,226
238,北京东土科技股份有限公司,223
239,有研稀土新材料股份有限公司,221
240,中冶京诚工程技术有限公司,221
241,北京星航机电装备有限公司,219
242,中国科学院空间应用工程与技术中心,219
243,中国农业银行股份有限公司,218
244,安泰科技股份有限公司,217
245,微梦创科网络科技（中国）有限公司,215
246,北大方正集团有限公司,214
247,郑州芯兰德网络科技有限公司,214
248,中国建筑材料科学研究总院有限公司,214
249,中国农业科学院农业环境与可持续发展研究所,214
250,北京航天自动控制研究所,212
251,凌云光技术股份有限公司,212
252,中国林业科学研究院木材工业研究所,212
253,中国互联网络信息中心,211
254,鼎桥通信技术有限公司,210
255,北京电子工程总体研究所,208
256,北京农学院,207
257,天地科技股份有限公司,205
258,中国科学院生物物理研究所,204
259,北京卫星制造厂有限公司,203
260,全球能源互联网研究院,203
261,北京光年无限科技有限公司,202
262,北京八亿时空液晶科技股份有限公司,201
263,北京天融信网络安全技术有限公司,201
264,中国电子科技集团公司第十一研究所,201
265,北京航天计量测试技术研究所,200
266,北京航天时代光电科技有限公司,200
267,北京五八信息技术有限公司,200
268,北京云迹科技股份有限公司,196
269,有研资源环境技术研究院（北京）有限公司,196
270,北京集创北方科技股份有限公司,194
271,煤炭科学技术研究院有限公司,193
272,中国科学院大学,193
273,中国医学科学院药用植物研究所,192
274,中国长江三峡集团有限公司,192
275,中国建筑第二工程局有限公司,191
276,北京遥感设备研究所,190
277,北京印刷学院,190
278,核工业北京化工冶金研究院,189
279,中国中医科学院中药研究所,187
280,中国科学院国家天文台,186
281,北京华大九天科技股份有限公司,184
282,新浪网技术（中国）有限公司,183
283,中国人民解放军军事医学科学院毒物药物研究所,182
284,北京航天测控技术有限公司,181
285,中国农业机械化科学研究院,181
286,咪咕文化科技有限公司,180
287,大唐微电子技术有限公司,178
288,中国传媒大学,178
289,北京特种机械研究所,177
290,北京天诚同创电气有限公司,177
291,中国科学院计算机网络信息中心,177
292,北京润科通用技术有限公司,176
293,北京天玛智控科技股份有限公司,176
294,中国人民解放军装甲兵工程学院,175
295,北京浪潮数据技术有限公司,174
296,大唐环境产业集团股份有限公司,173
297,海尔优家智能科技（北京）有限公司,173
298,北京星选科技有限公司,172
299,北京广利核系统工程有限公司,171
300,中国人民大学,171
301,北京京东振世信息技术有限公司,170
302,云知声智能科技股份有限公司,169
303,贝壳找房（北京）科技有限公司,168
304,博奥生物集团有限公司,168
305,矿冶科技集团有限公司,168
306,中国人民解放军陆军装甲兵学院,167
307,中星技术股份有限公司,167
308,特斯联（北京）科技有限公司,166
309,北京中电华大电子设计有限责任公司,165
310,元心信息科技集团有限公司,165
311,北京像素软件科技股份有限公司,164
312,北京亚东生物制药有限公司,164
313,中粮集团有限公司,164
314,北京万集科技股份有限公司,163
315,北京大学口腔医学院,162
316,北京声智科技有限公司,162
317,北京华为数字技术有限公司,161
318,北京明朝万达科技股份有限公司,160
319,中国铁道科学研究院集团有限公司铁道建筑研究所,159
320,北京机电工程研究所,158
321,北京首钢自动化信息技术有限公司,158
322,北京万海云科技有限公司,157
323,国网智能电网研究院,157
324,三一重能股份有限公司,157
325,北京猎户星空科技有限公司,156
326,北京迈格威科技有限公司,151
327,中海石油（中国）有限公司,151
328,北京城市网邻信息技术有限公司,149
329,中国商用飞机有限责任公司北京民用飞机技术研究中心,149
330,北京地平线机器人技术研发有限公司,148
331,北京中医药大学,148
332,中国航空规划设计研究总院有限公司,148
333,中国医学科学院肿瘤医院,147
334,北京佰才邦技术股份有限公司,146
335,中国测绘科学研究院,146
336,中国农业科学院蜜蜂研究所,146
337,北京强度环境研究所,145
338,智道网联科技（北京）有限公司,145
339,北京空间技术研制试验中心,144
340,秒针信息技术有限公司,144
341,中粮营养健康研究院有限公司,144
342,中广热点云科技有限公司,143
343,中国建筑股份有限公司,143
344,中国农业科学院农业质量标准与检测技术研究所,143
345,北京智行者科技股份有限公司,142
346,纳恩博（北京）科技有限公司,142
347,北京爱康宜诚医疗器材有限公司,140
348,公安部第一研究所,140
349,北京微播视界科技有限公司,138
350,中航复合材料有限责任公司,138
351,北京搜狐新媒体信息技术有限公司,137
352,中国农业科学院饲料研究所,137
353,北京航天长征飞行器研究所,136
354,北京安天网络安全技术有限公司,135
355,北京勤邦生物技术有限公司,135
356,北京世纪高通科技有限公司,135
357,军事科学院系统工程研究院网络信息研究所,135
358,北京华航无线电测量研究所,130
359,出门问问信息科技有限公司,130
360,中标慧安信息技术股份有限公司,130
361,中国船舶工业系统工程研究院,130
362,中国华冶科工集团有限公司,130
363,中国中化股份有限公司,130
364,北京建筑材料科学研究总院有限公司,128
365,推想医疗科技股份有限公司,128
366,中国人民解放军63921部队,128
367,中铁工程设计咨询集团有限公司,128
368,北京矿冶科技集团有限公司,127
369,有研金属复材技术有限公司,127
370,中国安全生产科学研究院,127
371,中国纺织科学研究院,127
372,北京小鸟看看科技有限公司,125
373,法法汽车（中国）有限公司,125
374,统信软件技术有限公司,125
375,中国印钞造币集团有限公司,125
376,北京大北农生物技术有限公司,124
377,国家康复辅具研究中心,124
378,中钞印制技术研究院有限公司,124
379,中国铁道科学研究院集团有限公司,124
380,北京东方雨虹防水技术股份有限公司,123
381,蓝箭航天空间科技股份有限公司,123
382,中国科学院动物研究所,123
383,北京北信源软件股份有限公司,122
384,北京国望光学科技有限公司,121
385,圣邦微电子（北京）股份有限公司,120
386,中国医学科学院基础医学研究所,120
387,北京酷我科技有限公司,119
