丰台区应急管理局执法检查公示目录（第三季度6月24日-9月30日）,,,,,,
序号,被检查单位名称,检查日期,执法检查单编号,检查方式是否双随机,检查结论,检查部门
124,北京古船油脂有限责任公司,44767,(京丰)应急现记〔2022〕执01088号,否,合格,区应急管理局
125,中国石化销售股份有限公司北京丰台丽泽东路加油站,44767,(京丰)应急现记〔2022〕执01056号,否,合格,区应急管理局
126,北京超强力油脂销售中心,44767,(京丰)应急现记〔2022〕执01062号,否,合格,区应急管理局
127,北京花乡众生加油站有限公司,44767,(京丰)应急现记〔2022〕执01061号,否,合格,区应急管理局
128,北京三元石油有限公司五里店加油站,44767,(京丰)应急现记〔2022〕执01058号,否,合格,区应急管理局
129,北京鑫福海木栖园石化产品销售有限公司,44767,(京丰)应急现记〔2022〕执01053号,否,合格,区应急管理局
130,北京超强力油脂销售中心,44767,(京丰)应急现记〔2022〕执01060号,否,合格,区应急管理局
131,北京顺利发加油站,44767,(京丰)应急现记〔2022〕执01055号,否,合格,区应急管理局
132,北京鑫福海木栖园石化产品销售有限公司,44767,(京丰)应急现记〔2022〕执01087号,否,合格,区应急管理局
133,北京建宏发加油站有限公司,44767,(京丰)应急现记〔2022〕执01063号,否,合格,区应急管理局
134,北京市顺发南宫加油站,44767,(京丰)应急现记〔2022〕执01054号,否,合格,区应急管理局
135,北京三元石油有限公司和义加油站,44767,(京丰)应急现记〔2022〕执01059号,否,合格,区应急管理局
136,北京市浩瀚龙加油站有限公司,44767,(京丰)应急现记〔2022〕执01064号,否,合格,区应急管理局
137,北京金泰恒业燃料有限公司加油站,44767,(京丰)应急现记〔2022〕执01057号,否,合格,区应急管理局
138,北京长城制药有限公司,44767,(京丰)应急现记〔2022〕执01052号,否,合格,区应急管理局
139,北京东方赛博工贸有限公司,44768,(京丰)应急现记〔2022〕执01091号,否,合格,区应急管理局
140,北京市丰台晓龙加油站有限公司,44768,(京丰)应急现记〔2022〕执01065号,否,合格,区应急管理局
141,北京同仁堂科技发展股份有限公司制药厂,44768,(京丰)应急现记〔2022〕执01068号,否,合格,区应急管理局
142,北京市国兴长油加油站有限公司,44768,(京丰)应急现记〔2022〕执01066号,否,合格,区应急管理局
143,北京戎商置业有限公司,44768,(京丰)应急现记〔2022〕执01094号,否,合格,区应急管理局
144,北京市大灰厂加油站有限公司,44768,(京丰)应急现记〔2022〕执01067号,否,合格,区应急管理局
145,北京燕化万特加油站有限公司,44768,(京丰)应急现记〔2022〕执01073号,否,合格,区应急管理局
146,北京市丰台赵辛店加油站,44768,(京丰)应急现记〔2022〕执01071号,否,合格,区应急管理局
147,北京京西三兴加油站,44768,(京丰)应急现记〔2022〕执01070号,否,合格,区应急管理局
