id,预售许可证号,项目名称,建设单位,发文编号,交换时间,采集时间
806,京房售证字(2005)39号,平英阁、安海阁（华普花园III段），华普中心（II段）,北京中地房地产开发有限公司,（2008）东执字第1505号,2005-02-04 00:00:00.000,2005-02-04 00:00:00.000
806,京房售证字(2005)39号,平英阁、安海阁（华普花园III段），华普中心（II段）,北京中地房地产开发有限公司,（2008）东执字第1806号,2005-02-04 00:00:00.000,2005-02-04 00:00:00.000
806,京房售证字(2005)39号,平英阁、安海阁（华普花园III段），华普中心（II段）,北京中地房地产开发有限公司,（2006）高民初字第669号,2005-02-04 00:00:00.000,2005-02-04 00:00:00.000
806,京房售证字(2005)39号,平英阁、安海阁（华普花园III段），华普中心（II段）,北京中地房地产开发有限公司,（2005）鄂州法执字第22号,2005-02-04 00:00:00.000,2005-02-04 00:00:00.000
1885,京房售证字(2005)23号,四路通住宅小区A区4#楼14项,北京力维斯凯亚房地产开发有限公司,(2006)天法民二初字第459号之四,2005-01-26 00:00:00.000,2005-01-26 00:00:00.000
188333,京房售证字(2005)19号,蓝郡嘉苑,北京兆恒房地产开发有限公司,(2012)昌执字第2039号、,2005-01-19 00:00:00.000,2005-01-19 00:00:00.000
258432,京房售证字(2004)646号,方泽园住宅小区1#楼等10项,北京中豪房地产开发有限公司,(2007)二中民保字第12513号,2004-12-31 00:00:00.000,2004-12-31 00:00:00.000
143222,京房售证字(2004)639号,褐石园14#、16#楼,北京泰跃房地产开发有限责任公司,(2007)海民初字第13373号,2004-12-29 00:00:00.000,2004-12-29 00:00:00.000
33174,京房售证字(2004)544号,雍和家园二期,北京世纪家园房地产开发有限公司,2009东民初字第04791号,2004-11-18 00:00:00.000,2004-11-18 00:00:00.000
16016,京房售证字(2004)543号,彩虹园,北京和泓置地有限公司,经侦发字(2006)147号,2004-11-18 00:00:00.000,2004-11-18 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,（2006）二中执字第00012号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,（2006）京铁中执字第1号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,（2001）二中执字第1081号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,（2006）京铁中执字第1号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,（2006）二中执字第61号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,(2006)丰民初字第4717号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,（2006）二中执字第00011号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,(2005)二中民初字第1724号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,（2005）二中民初字第01724号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,（2006）丰民初字第4713号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,(2006)二中执字第00143号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
448624,京房售证字(2004)528号,金方商贸大厦,北京浩搏基业房地产开发有限公司,（2005）赤民二初字第59号,2004-11-11 00:00:00.000,2004-11-11 00:00:00.000
