序号,企业名称,行政相对人代码,资质证书编号,资质证书等级,许可日期,有效期至,许可机关
409,北京广安置地投资有限公司,911101020741817484,XC-A-8607,二级,2023/5/23,2026/5/22,北京市住房和城乡建设委员会
410,北京中铁顺兴房地产开发有限公司,91110113MA00H3F114,SY-A-X9477,二级,2023/5/29,2026/5/28,北京市住房和城乡建设委员会
411,北京金隅空港开发有限公司,91110113MA00FP6H4U,SY-A-X9375,二级,2023/6/6,2026/6/5,北京市住房和城乡建设委员会
412,北京盛华夏房地产开发有限公司,91110102749370812J,CY-A-X1381,二级,2023/5/9,2026/5/8,北京市住房和城乡建设委员会
413,北京嘉富龙房地产开发有限公司,91110000802204216N,FT-A-1145,二级,2023/5/23,2026/5/22,北京市住房和城乡建设委员会
414,华润置地开发（北京）有限公司,91110000670572104L,DX-A-5887,二级,2023/5/6,2026/5/5,北京市住房和城乡建设委员会
415,北京利源贞祥置业有限公司,91110117553054586Q,PG-A-8845,二级,2023/4/13,2025/6/23,北京市住房和城乡建设委员会
416,北京中海盈璟房地产开发有限公司,91110113MABQ93R69Y,SY-A-10502,二级,2023/5/4,2025/6/15,北京市住房和城乡建设委员会
417,北京盟科置业有限公司,9111011380295843X1,SY-A-4655,二级,2023/5/8,2025/8/29,北京市住房和城乡建设委员会
418,北京三元德宏房地产开发有限公司,91110115783210708B,DX-A-5812,二级,2023/5/31,2026/5/30,北京市住房和城乡建设委员会
419,北京华油房地产开发有限公司,91110000721480868W,PG-A-3554,二级,2023/5/8,2025/9/27,北京市住房和城乡建设委员会
420,北京一源置业有限公司,91110119MA7H05X687,YQ-Q-10303,二级,2023/4/14,2025/4/27,北京市住房和城乡建设委员会
421,旭阳置业有限公司,911101066819529546,FT-A-8686,二级,2023/6/15,2025/9/4,北京市住房和城乡建设委员会
422,北京华阳房地产发展有限责任公司,911101051017269868,CY-A-0735,二级,2023/6/6,2026/6/5,北京市住房和城乡建设委员会
423,北京东方家园房地产开发有限公司,91110113802463197Q,SY-A-11124,二级,2023/6/13,2026/6/12,北京市住房和城乡建设委员会
424,北京鑫安兴业房地产开发有限公司,91110107MA01Q46P38,SJ-A-6429,二级,2023/6/26,2025/7/4,北京市住房和城乡建设委员会
425,北京广安融通置业有限公司,91110102582559196C,XC-A-8611,二级,2023/5/9,2026/5/8,北京市住房和城乡建设委员会
426,北京金瑞通房地产开发有限公司,911101065636447583,FT-A-7553,二级,2023/5/26,2026/5/25,北京市住房和城乡建设委员会
427,北京紫麟置业有限公司,91110114MA01FWBC5B,CP-A-8849,二级,2023/6/19,2025/5/30,北京市住房和城乡建设委员会
428,北京德成置地房地产开发有限公司,9111010872634200XY,HD-A-0980,二级,2023/5/4,2026/5/3,北京市住房和城乡建设委员会
429,北京山水绿洲房地产开发有限责任公司,911101067393650406,FT-A-1172,二级,2023/4/18,2026/4/17,北京市住房和城乡建设委员会
430,北京中海兴达房地产开发有限公司,91110115MA01B2UX48,DX-A-X1148,二级,2023/5/16,2025/11/3,北京市住房和城乡建设委员会
431,大华（北京）置业有限公司,91110114MACDC96413,CP-A-11054,二级,2023/4/17,2026/4/16,北京市住房和城乡建设委员会
432,北京市永联房地产开发有限责任公司,91110106101183563X,FT-A-1130,二级,2023/4/18,2026/4/17,北京市住房和城乡建设委员会
433,北京骏阳房地产开发有限公司,91110115MA02M37NX4,DX-A-X1978,二级,2023/4/24,2025/6/27,北京市住房和城乡建设委员会
434,北京大前门投资经营有限公司,9111010177950616XM,DC-A-7434,二级,2023/5/23,2026/5/22,北京市住房和城乡建设委员会
435,北京住总京房房地产开发有限公司,91110111MA00DPHR59,FS-A-8588,二级,2023/6/25,2026/6/24,北京市住房和城乡建设委员会
436,北京昊远置业有限公司,91110302MA01GFP72Q,JK-A-X1372,二级,2023/4/14,2025/6/13,北京市住房和城乡建设委员会
437,北京陕建宏源置业有限公司,91110105MACE2GRE23,CY-A-11084,二级,2023/5/23,2026/5/22,北京市住房和城乡建设委员会
438,北京同泰日方置业有限公司,91110113MACB4HLJ6Q,SY-A-11055,二级,2023/4/17,2026/4/19,北京市住房和城乡建设委员会
439,北京和信兴泰房地产开发有限公司,91110115MA00EGXFXC,DX-A-X9197,二级,2023/4/28,2026/4/27,北京市住房和城乡建设委员会
440,北京万华置业有限公司,91110102101122613Y,XC-A-0216,二级,2023/4/18,2026/4/17,北京市住房和城乡建设委员会
441,北京鑫泰兴业房地产开发有限公司,91110107MA04G86P2U,SJ-A-10501,二级,2023/6/28,2025/6/16,北京市住房和城乡建设委员会
442,北京电控阳光房地产开发有限公司,911101057521631364,CY-A-3627,二级,2023/4/24,2026/4/23,北京市住房和城乡建设委员会
443,北京恒合悦兴置业有限公司,91110108MA00AA9T37,HD-A-8741,二级,2023/4/17,2026/4/16,北京市住房和城乡建设委员会
444,北京京西阳光投资有限公司,91110000690026645M,FS-A-6872,二级,2023/4/20,2026/4/19,北京市住房和城乡建设委员会
445,棕榈泉置业有限公司,911100007177492625,YQ-B-X1816,二级,2023/4/20,2026/4/19,北京市住房和城乡建设委员会
446,北京中苑盛世投资管理有限公司,91110000102158407M,FT-A-7579,二级,2023/5/5,2026/5/4,北京市住房和城乡建设委员会
447,北京花宇置业有限公司,91110113074109324Q,SY-A-X9436,二级,2023/5/23,2026/5/22,北京市住房和城乡建设委员会
448,中鼎兴泰（北京）置业有限公司,91110116MABP5DENX1,HR-A-10744,二级,2023/5/29,2025/7/28,北京市住房和城乡建设委员会
449,北京泰福恒投资发展有限公司,91110000802042763A,SY-A-X1692,二级,2023/5/23,2026/5/22,北京市住房和城乡建设委员会
450,泛华城市投资有限公司,911103026932717856,JK-A-3377,二级,2023/5/6,2026/5/5,北京市住房和城乡建设委员会
451,北京中海盈顺房地产开发有限公司,91110111MA01TYYEXU,FS-A-8928,二级,2023/5/31,2025/6/5,北京市住房和城乡建设委员会
452,北京中海兴良房地产开发有限公司,91110111MA018NLWXC,FS-A-8599,二级,2023/5/31,2026/2/20,北京市住房和城乡建设委员会
453,北京城建兴胜置业有限公司,91110116MA01L8AD4N,HR-A-X1510,二级,2023/5/26,2025/6/20,北京市住房和城乡建设委员会
454,北京世纪鸿城置业有限公司,911101056723509199,CY-A-6082,二级,2023/5/29,2025/6/13,北京市住房和城乡建设委员会
455,北京兴鑫房地产开发有限公司,91110105MACFNKT4X5,CY-A-11082,二级,2023/5/23,2026/5/22,北京市住房和城乡建设委员会
456,中电建西元（北京）房地产开发有限公司,91110109098263449R,MT-A-X3705,二级,2023/5/16,2026/5/15,北京市住房和城乡建设委员会
457,北京大兴发展集地开发有限公司,91110115MABYEK7K7N,DX-A-10931,二级,2023/4/21,2025/11/3,北京市住房和城乡建设委员会
458,北京中天恒信房地产开发有限公司,91110113740435843N,SY-A-11102,二级,2023/6/6,2026/6/5,北京市住房和城乡建设委员会
459,北京顺长房地产开发有限公司,911101057235580831,CY-A-0767,二级,2023/5/25,2026/5/24,北京市住房和城乡建设委员会
460,北京中海盈盛房地产开发有限公司,91110106MABYKUNR6E,FT-A-10919,二级,2023/5/31,2025/10/19,北京市住房和城乡建设委员会
461,北京昌信硕泰置业有限公司,91110114MA01790512,CP-A-8862,二级,2023/6/16,2026/6/15,北京市住房和城乡建设委员会
462,腾云当代绿建工程管理集团有限公司,91110101MA004Y4747,DC-A-10968,二级,2023/6/14,2025/11/30,北京市住房和城乡建设委员会
463,北京首城置业有限公司,911100007990072294,建开企[2013]1242号,二级,2023/6/16,2025/6/8,北京市住房和城乡建设委员会
