唯一标识,行政相对人名称,统一社会信用代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,是否删除,行政相对人类别,更新时间
49c700fe-2a3a-4c84-a21e-17e24ecf92a6,北京世纪国际旅行社有限公司,91110101558590476R,温*翔,(京)文执罚 〔2024〕第600098号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京世纪国际旅行社有限公司于2024年04月04日与2024年04月08日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2024/5/20,2099/12/31,2025/5/20,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:30
52764416-767f-4077-821a-dfb9853f7a92,北京遇上假期国际旅行社有限公司,91110105MA008C2R7E,孙*,(京)文执罚 〔2023〕第600284号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京遇上假期国际旅行社有限公司于2023年08月20日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案的行为，依法对该单位处以罚款人民币一万元的行政处罚。,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币壹万元。,1,2023/11/6,2099/12/31,2024/11/6,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:27
6c6376b3-3cb7-45f5-8d47-2899b25e4938,北京大展国际旅行社有限公司,91110105074167022Y,刘*,(京)文执罚 〔2024〕第600095号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京大展国际旅行社有限公司于2024年01月23日与2024年01月28日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2024/5/20,2099/12/31,2025/5/20,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:31
a1c6d702-e0c2-447b-9e26-0b76bb9779a5,北京隆格酒店管理有限公司,911101086637272512,孔*宇,(京)文执罚 〔2023〕第600124号,旅馆业经营者及其从业人员为非法一日游经营活动提供便利,北京隆格酒店管理有限公司于2023年04月01日与2023年05月29日期间，存在旅馆业经营者及其从业人员为非法一日游经营活动提供便利,《北京市旅游条例》第八十一条,罚款,罚款人民币壹万元。,1,2023/6/25,2099/12/31,2024/6/25,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:33
cc56f522-fc55-4679-82d1-f779849c7153,北京童问自然国际旅行社有限公司,91110108MA01AYA92B,何*文,(京)文执罚 〔2024〕第600072号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京童问自然国际旅行社有限公司于2024年01月21日与2024年01月27日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2024/4/3,2099/12/31,2025/4/3,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:34
26c41ad5-596c-4b4a-94d3-0b47f9d3b5c2,乐圣天下国际旅行社（北京）有限公司,91110105MA04GX85X3,姜*楠,(京)文执罚 〔2024〕第600142号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,乐圣天下国际旅行社（北京）有限公司于2024年04月1日至2024年04月29日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案的行为,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2024/7/17,2099/12/31,2025/7/17,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,27/12/2024 17:49:51
2d81d6fb-e86e-4bd7-b4ac-82693238ddad,北京纵横天下旅行社有限公司,91110101580883793X,邢*,(京)文执罚 〔2023〕第600142号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京纵横天下旅行社有限公司未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案，我单位对该单位作出罚款5000元的行政处罚。,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/7/3,2099/12/31,2024/7/3,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:46
3f0ed0de-aeef-45c5-a036-89879b601d44,北京梧桐樽文画国际旅行社有限公司,91110400MABNDGT908,张*豪,(京)文执罚 〔2023〕第600218号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京梧桐樽文画国际旅行社有限公司于2023年08月03日存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案。,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/9/6,2099/12/31,2024/9/6,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:24
53a8581a-1662-402d-9174-99b954fb82ec,北京金鸿盛世旅行社有限公司,91110106783216253Y,刘*,(京)文执罚 〔2023〕第600231号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京金鸿盛世旅行社有限公司于2023年07月04日，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/9/21,2099/12/31,2024/9/21,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:43
54655560-98e2-4962-960b-cfcda68efc03,北京走途国际旅行社有限公司,91110106MA04BBD03F,王*瑞,(京)文执罚 〔2024〕第600085号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京走途国际旅行社有限公司于2023年12月28日与2024年01月02日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案的违法行为，该行为无违法所得。依据《北京市旅游条例》第六十六条第一款的规定，参照《北京市文化市场综合执法行政处罚裁量基准》，对该单位作出罚款人民币伍仟元的行政处罚。,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2024/4/26,2099/12/31,2025/4/26,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:06:26
856f2fe0-7e85-4427-9a06-8f535e1e134c,北京盛世国际旅行社有限公司,91110101723974714P,吴*珑,(京)文执罚 〔2023〕第600163号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京盛世国际旅行社有限公司于2023年06月01日与2023年06月06日期间，存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案违法行为。,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/7/7,2099/12/31,2024/7/7,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:26
c4bfe110-d2f0-416e-b9de-8631467ec0e4,北京金府假日国际旅行社有限公司,91110101MA00AG5FXU,朱*君,(京)文执罚 〔2023〕第600133号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京金府假日国际旅行社有限公司于2023年04月04日存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/6/30,2099/12/31,2024/6/30,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:25
0000e8d9-5c97-4282-a145-e4dc074097b3,北京亦东旅游有限公司,91110302582555363Q,李*忠,(京)文执罚 〔2023〕第600135号,旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,北京亦东旅游有限公司于2023年06月01日存在旅行社未通过旅游公共信息和咨询平台向旅游行政部门进行团队旅游信息备案,《北京市旅游条例》第六十六条第一款,罚款,罚款人民币伍仟元。,0.5,2023/6/30,2099/12/31,2024/6/30,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,法人及非法人组织,13/6/2024 17:22:42
122cb495-9748-4b6d-b8cb-fafe5b824f8b,周*宝,,,(京)文执罚 〔2023〕第600167号,旅馆业经营者及其从业人员为非法一日游经营活动提供便利,周玉宝于2023年04月01日与2023年05月29日期间，存在旅馆业经营者及其从业人员为非法一日游经营活动提供便利的行为。,《北京市旅游条例》第八十一条,罚款,罚款人民币贰仟元。,0.2,2023/7/12,2099/12/31,2024/7/12,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,0,自然人,13/6/2024 17:22:25
