项目名称,企业名称,获奖人姓名
基于TRIZ理论的软质芳纶防爆毯的开发,北京航天雷特机电工程有限公司,"孙**,许**,陈*"
基于TRIZ理论的微张力矫直的主传动系统改进方法,中冶京诚工程技术有限公司,"郭*,张**,段**"
基于TRIZ理论的新型电缆尾夹压紧装置,北京航天新立科技有限公司,"孙**,信**,张*"
基于TRIZ理论的一种圆形连接器插头辅助插拔装置,北京航天新立科技有限公司,"王**,曹**,张*"
基于TRIZ理论发明的一种车载一体化钢结构观礼台,中冶京诚工程技术有限公司,"王*,闫**,徐*"
基于TRIZ理论改善某型飞机压力传感器标定方法的研究,北京青云航空仪表有限公司,"庄**,王**,沈**"
基于TRIZ理论降低轨道列车制动管路泄露风险,北京中车长客二七轨道装备有限公司,"刘*,李*,王*"
基于TRIZ理论提升城铁车辆线缆耐压环线效率问题,北京中车长客二七轨道装备有限公司,"孙**,刘*,刘**"
基于TRIZ理论优化CO2 解吸系统,中冶京诚工程技术有限公司,"边**,徐**,张**"
基于TRIZ提高矿井通风效率,中国恩菲工程技术有限公司,"杨**,李**,齐**"
基于TTRIZ创新方法的一种连续式试样剪切设备研发,中冶京诚工程技术有限公司,"郝**,轧*,叶**"
基于孪生中枢的高速公路交通管控系统研发及应用,中国公路工程咨询集团有限公司,"安**,孟*,黄**"
基于综合交通枢纽盖挖逆作关键技术的智能安装成套装备研究,北京京能地质工程有限公司,"王**,云*,周*"
聚合物血管支架植入失效问题研究,北京阿迈特医疗器械有限公司,"冯**,杨*,宋*"
螺旋提拉线,北京诺康达医药科技股份有限公司,"徐**,冷**,吴*"
实现印制板三防漆涂覆绿色高效生产方法研究,北京航天新立科技有限公司,"裴**,陈*,宋*"
水泥窑协同处置中螺旋泵天车自动化系统,北京金隅北水环保科技有限公司,"王**,李*,杜*"
提升5G端到端网络感知系统的性能,中国联合网络通信有限公司北京市分公司,"徐*,李**,陈**"
提升电力用户低碳响应互动能力,国网北京市电力公司通州供电公司,"牛**,高*,郭**"
提升实验室配电网源网荷储协调互动能力,国网北京市电力公司通州供电公司,"牛**,王*,黄*"
通用大型风电叶片运输装备研制及应用,北方国际合作股份有限公司,"林*,尹*,冯*"
危废智能机器人转运系统研发项目,北京金隅北水环保科技有限公司,"周**,孟**,刘*"
新型熔盐储能装备—高压感应电源创新研发,中冶赛迪电气技术有限公司,"王*,孙**,杨**"
形变可控的缪子探测器屏蔽层构建技术,中冶京诚工程技术有限公司,"鄢*,马*,柳**"
液压滚切剪,中冶京诚工程技术有限公司,"汪*,徐**,王*"
一种保温油气管道跨国运输装备研发及应用,北方国际合作股份有限公司,"党*,林*,邱*"
一种红黏土填筑高速公路路基结构,中冶京诚工程技术有限公司,"刘**,张**,张*"
一种可旋转式电弧炉炉底,中冶京诚工程技术有限公司,"周**,于*,王*"
一种墙顶设置悬臂的挡土墙,中冶京诚工程技术有限公司,"李*,孔*,芦**"
一种自适应滑移的抗拉隔震支座,中冶京诚工程技术有限公司,"闫**,邢**,孙**"
应用TRIZ方法解决马铃薯嫁接番茄成活率低的问题,北京中农富通园艺有限公司,"王**,陈**,张**"
用TRIZ方法解决推进剂加注方舱机动运输成本高的问题,北京航天凯恩新材料有限公司,"陈**,赵*,胡**"
支持概念设计的机械产品数字化设计方法论,中冶京诚工程技术有限公司,"侯*,李*,王**"
钻井废屑激波干化系统的优化问题,北京航天雷特机电工程有限公司,"刘*,闫*,李*"
做油水井“医生”-水驱实时一体化注采优化技术,中国石油天然气集团有限公司科学技术研究院,"胡**,陈**,马**"
