实施主体,职权编号,职权名称,职权种类
区规划和自然资源委员会,C1510000,对未按照测绘成果资料的保管制度管理测绘成果资料，造成测绘成果资料损毁、散失的行为进行处罚,"没收违法所得,警告"
,,,
区规划和自然资源委员会,C1510100,对擅自转让汇交的测绘成果资料的行为进行处罚,"没收违法所得,警告"
,,,
区规划和自然资源委员会,C1510200,对未依法向测绘成果的使用人提供测绘成果资料的行为进行处罚,"没收违法所得,警告"
,,,
,,,
区规划和自然资源委员会,C1510500,对在对社会公众有影响的活动中使用未经依法公布的重要地理信息数据的行为进行处罚,"警告,罚款"
,,,
区规划和自然资源委员会,C1510600,对未取得测绘资质证书或者超越测绘资质等级许可的范围从事地图编制活动或者互联网地图服务活动进行处罚,"没收违法所得,没收非法财物,罚款"
,,,
,,,
区规划和自然资源委员会,C1510700,"对违反《地图管理条例》规定,应当送审而未送审的行为进行处罚","没收违法所得,没收非法财物,警告,罚款"
,,,
,,,
,,,
区规划和自然资源委员会,C1510800,对不需要送审的地图不符合国家有关标准和规定的行为进行处罚,"没收违法所得,没收非法财物,警告,罚款"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区规划和自然资源委员会,C1511900,对设计单位为没有取得建设工程规划许可证、乡村建设规划许可证、临时乡村建设规划许可证的建设工程提供施工图纸，或者不按照建设工程规划许可证、乡村建设规划许可证、临时乡村建设规划许可证提供施工图纸的行为进行处罚,"责令停产停业,没收违法所得,警告,罚款"
,,,
区规划和自然资源委员会,C1512000,对依法必须进行招标的项目，应当发布招标公告而不发布的行为进行处罚(勘察设计）,罚款
,,,
区规划和自然资源委员会,C1513200,对公开展示、悬挂、刊登、播映标有国界线和行政区域界线的各类地图和示意图，未按规定的标准样图编制的行为进行处罚,"责令停产停业,没收违法所得,罚款"
,,,
区规划和自然资源委员会,C1513400,对勘察文件没有责任人签字或者签字不全的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1513500,对原始记录不按照规定记录或者记录不完整的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1513600,对不参加施工验槽的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1513700,对项目完成后，勘察文件不归档保存的行为进行处罚,罚款
,,,
区规划和自然资源委员会,C1513800,对企业隐瞒有关情况或者提供虚假材料申请资质的行为进行处罚,警告
,,,
区规划和自然资源委员会,C1513900,对企业不及时办理资质证书变更手续的行为进行处罚,罚款
