唯一标识,行政相对人名称,统一社会信用代码,法定代表人,行政处罚决定书文号,违法行为类型,违法事实,处罚依据,处罚类别,处罚内容,罚款金额（万元）,没收违法所得、没收非法财物的金额（万元）,处罚决定日期,处罚有效期,公示截止期,处罚机关,处罚机关统一社会信用代码,数据来源单位,数据来源单位统一社会信用代码,备注,是否删除,行政相对人类别,更新时间
b283a6f1-357b-4073-ba2c-bd0b29a72bad,名阁（北京）传媒有限公司,91110101MA01RY4Q64,袁*东,(京)文执罚 〔2023〕第200151号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,名阁（北京）传媒有限公司于2023年08月20日至2023年08月31日期间，存在传播《中华人民共和国未成年人保护法》第五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示的违法行为，无违法所得。,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-09-27,2099-12-31,2024-09-27,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:45
cf654f15-3625-485f-98d3-6f73503d99ef,北京千思至细文化中心（经营者：张洪硕）,92110115MA04DBY83M,张*硕,(京)文执罚 〔2023〕第400186号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京千思至细文化中心于2022年12月与2023年07月期间，存在传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示。,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-08-28,2099-12-31,2024-08-28,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,个体工商户,13/6/2024 17:22:36
08903619-ac7c-4503-b79a-6f8121513719,北京岔路口桌游有限公司,91110400MA7F6RF3XD,张*亮,(京)文执罚 〔2023〕第400193号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京岔路口桌游有限公司于2021年07月与2023年07月期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示行为。,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-08-30,2099-12-31,2024-08-30,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:45
143f9f67-014f-4517-90f7-6c691c43c332,北京环峰文化传播有限公司,91110114MA04CW2X6D,刘*,(京)文执罚 〔2023〕第200128号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京环峰文化传播有限公司于2021年09月30日至2023年07月14日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-09-06,2099-12-31,2024-09-06,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:27
1a511414-6dcc-4531-b8a7-cc09c51a7b80,确实是（北京）网络科技有限公司,91110105MA020M1EXR,高*,(京)文执罚 〔2023〕第200166号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,"确实是（北京）网络科技有限公司于2022年09月10日与2023年09月08日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,无违法所得。",《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-11-07,2099-12-31,2024-11-07,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:26
2bc06bd5-e177-4a7f-8606-884d7d6053c6,北京理性时光京南文化发展有限公司,91110101MA01P5U093,陈*祥,(京)文执罚 〔2023〕第200053号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京理性时光京南文化发展有限公司于2022年07月12日与2023年05月15日期间，存在传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）的违法行为，依法作出行政处罚：警告。,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-06-15,2099-12-31,2024-06-15,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:26
2c0d4366-8be1-48c3-a977-e6682ea26aee,北京异趣之文化传播有限公司,91110105MA7K61K27L,宋*艳,(京)文执罚 〔2023〕第200125号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京异趣之文化传播有限公司于2022年03月16日至2023年07月19日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-09-06,2099-12-31,2024-09-06,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:35
4dbbc050-9393-48fd-9afd-22b4d09e24d9,北京笑乐休闲娱乐有限公司,91110105MA0216RP7J,王*,(京)文执罚 〔2023〕第200156号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,对北京笑乐休闲娱乐有限公司于2023年02月07日至2023年08月22日期间，其经营的剧本存在传播《中华人民共和国未成年人保护法》第五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示的违法行为，给予警告的行政处罚。,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-10-12,2099-12-31,2024-10-12,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:44
aa65e57b-ab91-48fb-b74f-2a568f80527a,北京甄贾文化有限公司,91110105MAC2B6WG1H,杨*,(京)文执罚 〔2023〕第200162号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京甄贾文化有限公司于2023年07月13日与2023年08月02日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为），无违法所得,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-11-01,2099-12-31,2024-11-01,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:22
bb59b9b6-76dd-40d0-9e3d-e8798b7d0478,北京洪兴辉科贸有限公司,91110115MA01DMXM9K,刘*辉,(京)文执罚 〔2023〕第400195号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京洪兴辉科贸有限公司于2022年11月10日与2023年08月03日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）。,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-08-30,2099-12-31,2024-08-30,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,法人及非法人组织,13/6/2024 17:22:35
d9c46c0d-cf08-42c9-9a2e-63b16d831498,北京聚逗剧本桌游娱乐店（经营者：王钰雅）,92110105MABTWUU51G,王*雅,(京)文执罚 〔2023〕第200167号,出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为）,北京聚逗剧本桌游娱乐店于2023年03月30日与2023年08月29日期间，存在出版、发布、传播《未成年人保护法》五十一条规定的内容，包含可能影响未成年人身心健康内容的，未以显著方式作出提示（应由文化综合执法机构处罚的行为），无违法所得,《中华人民共和国未成年人保护法》第一百二十一条,警告,警告。,,,2023-11-07,2099-12-31,2024-11-07,北京市文化和旅游局,11110000777051923C,北京市文化市场综合执法总队,11110000MB1G486092,,0,个体工商户,13/6/2024 17:22:36
