实施主体,职权编号,职权名称,职权种类
区人力资源和社会保障局,C1108800,对用人单位及其责任人员不办理社会保险登记逾期不改的行为进行处罚,罚款
,,,
,,,
区人力资源和社会保障局,C1108900,对用人单位未按月将缴纳社会保险费的明细情况告知职工本人，且经责令改正逾期不改的行为进行行政处罚,罚款
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1109000,对用人单位未按时足额缴纳社会保险费，且逾期不缴纳的行为进行行政处罚,罚款
,,,
区人力资源和社会保障局,C1109100,对社会保险经办机构以及医疗机构、药品经营单位等社会保险服务机构以欺诈、伪造证明材料或者其他手段骗取社会保险基金支出的行为进行行政处罚,罚款
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1109200,对以欺诈、伪造证明材料或者其他手段骗取社会保险待遇的行为进行行政处罚,罚款
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1109300,对违反规定，隐匿、转移、侵占、挪用社会保险基金或者违规投资运营的行为进行处罚,没收违法所得
,,,
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1109400,对拒不协助社会保险行政部门对事故进行调查核实的行为进行处罚,罚款
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1109800,对用人单位克扣工伤保险基金支付给工伤职工或者其供养亲属工伤保险待遇行为的进行处罚,罚款
,,,
区人力资源和社会保障局,C1109900,对企业违反《企业年金试行办法》的行为进行行政处罚,警告
,,,
区人力资源和社会保障局,C1110000,对外国人和用人单位伪造、涂改、冒用、转让、买卖就业证和许可证的行为进行处罚,"没收违法所得,罚款"
,,,
区人力资源和社会保障局,C1110400,对缴费单位未按照规定变更登记或者注销登记的行为进行处罚,罚款
,,,
,,,
,,,
区人力资源和社会保障局,C1110500,对缴费单位违反有关财务、会计、统计的法律、行政法规和国家有关规定，伪造、变造、故意毁灭有关账册、材料，或者不设账册，致使社会保险费缴费基数无法确定的行为进行处罚,罚款
,,,
区人力资源和社会保障局,C1110600,对缴费单位未按照规定申报应缴纳的社会保险费数额的行为进行处罚,罚款
,,,
,,,
区人力资源和社会保障局,C1110900,对以职业技能为主的职业资格培训、职业技能培训的民办学校未建立、健全管理机构和管理制度，导致管理混乱、教育教学质量低下，造成恶劣影响的行为进行处罚,"责令停产停业,警告,吊销许可证或营业执照"
,,,
,,,
,,,
区人力资源和社会保障局,C1111000,对用人单位违反规定，以民族、性别、宗教信仰为由拒绝聘用或者提高聘用标准的，招聘由国家统一派出而又未满轮换年限的赴新疆、西藏工作的人员的行为进行处罚,罚款
,,,
区人力资源和社会保障局,C1111100,对用人单位经责令改正、逾期仍不将童工送交其父母或者其他监护人的行为进行处罚,罚款
,,,
区人力资源和社会保障局,C1111200,对无营业执照、被依法吊销营业执照的单位以及未依法登记、备案的单位使用童工或者介绍童工就业的行为进行处罚,罚款
,,,
区人力资源和社会保障局,C1111300,对擅自设立职业培训机构的行为进行处罚,"责令停产停业,罚款"
,,,
,,,
区人力资源和社会保障局,C1111400,对职业培训机构违反规定，给学业成绩不合格者颁培训证书的行为进行处罚,没收违法所得
,,,
区人力资源和社会保障局,C1111500,对用人单位或人力资源服务机构发布的招聘信息不真实、不合法，含有歧视性内容的行为进行行政处罚,"没收违法所得,罚款,吊销许可证或营业执照"
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1111600,对开展人力资源服务业务未备案的行为进行行政处罚,罚款
,,,
区人力资源和社会保障局,C1111700,对人力资源服务机构未按规定建立健全内部制度或者保存服务台账的行为进行行政处罚,罚款
,,,
区人力资源和社会保障局,C1111800,对设立分支机构、办理变更或者注销登记未书面报告的行为进行行政处罚,罚款
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1111900,对人力资源服务机构未按规定明示有关事项的行为进行行政处罚,罚款
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1112000,对人力资源服务机构未按规定提交经营情况年度报告的行为进行行政处罚,罚款
,,,
,,,
,,,
区人力资源和社会保障局,C1112100,对用人单位违反本法对女职工的保护规定，侵害其合法权益的行为进行行政处罚,罚款
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
区人力资源和社会保障局,C1112200,对职业介绍机构、职业技能培训机构或职业技能考核鉴定机构违反国家有关职业介绍、职业技能培训或者职业技能考核鉴定规定的行为进行处罚,"没收违法所得,罚款,吊销许可证或营业执照"
,,,
,,,
,,,
,,,
,,,
,,,
