是否已注销,产权单位企业名称,登记编号,设备类型,生产厂家,产权单位统一社会信用代码
有效,中铁建工集团第一建设有限公司,京FT-T77210,塔式起重机,中联重科股份有限公司,91110106MABRP90L46
有效,北京金久安建筑设备租赁有限公司,京HR-S73537,施工升降机,北京宏升卓越工程机械有限公司,911102288020872162
有效,北京国成伟业机械设备租赁有限公司,京HR-S73840,施工升降机,北京宏升卓越工程机械有限公司,91110116690814270C
有效,北京龙友设备租赁有限公司,京MT-S71472,施工升降机,北京宏升卓越工程机械有限公司,911101096343243226
有效,北京建工路桥集团有限公司,京SY-T67896,塔式起重机,江苏建友工程机械有限公司,91110000722609328T
有效,北京龙泰机械设备安装有限公司,京FT-T57040,塔式起重机,中联重科股份有限公司,911101061021981424
有效,北京攀腾伟业建筑机械设备租赁有限公司,京FS-T71035,塔式起重机,徐州建机工程机械有限公司,91110111665649816H
有效,北京攀腾伟业建筑机械设备租赁有限公司,京FS-T55398,塔式起重机,中联重科股份有限公司,91110111665649816H
有效,北京茂祥东兴建设工程有限公司,京TZ-T70325,塔式起重机,江西中天智能装备股份有限公司,91110112MA01ND6Y5E
有效,北京攀腾伟业建筑机械设备租赁有限公司,京FS-T77316,塔式起重机,徐州建机工程机械有限公司,91110111665649816H
有效,北京华东顺成机械设备租赁有限公司,京DX-S75566,施工升降机,天津京龙工程机械有限公司,911101156963942036
有效,北京鑫正腾飞设备租赁有限公司,京FS-T78814,塔式起重机,中联重科建筑起重机械有限责任公司,91110111573157208B
有效,北京庞源机械工程有限公司,京TZ-S72391,施工升降机,南京高立工程机械有限公司,911101125568120205
有效,北京荣基建筑机械设备租赁有限公司,京CP-S72153,施工升降机,北京宏升卓越工程机械有限公司,91110114MA01EWF4XC
有效,北京沂鑫建筑机械租赁有限公司,京PG-T64869,塔式起重机,沈阳三洋建筑机械有限公司,91110117700065817E
有效,北京齐君设备租赁有限公司,京DX-T70993,塔式起重机,中联重科股份有限公司,911101156637463991
有效,北京齐君设备租赁有限公司,京DX-T77057,塔式起重机,徐州建机工程机械有限公司,911101156637463991
有效,北京天和建筑机械设备租赁有限责任公司,京FT-S53501,施工升降机,北京宏升卓越工程机械有限公司,911101066336408682
有效,北京中科建基机械设备有限公司,京TZ-T71993,塔式起重机,中联重科股份有限公司,91110108596027924B
有效,北京世纪鸿达机械设备租赁有限公司,京FS-T58314,塔式起重机,抚顺永茂建筑机械有限公司,91110105802363954K
有效,北京市机械施工集团有限公司,京XC-T42040,塔式起重机,北京永茂建工机械制造有限公司,91110000101112503E
