项目名称,项目所在行政区划代码,土地面积,土地用途,出让年限,土地坐落,成交价格（万元）,价格币种代码,价格单位,受让人名称,受让人类别,受让人代码,成交公示标题,成交公示内容,公示发布时间,更新时间
密云区檀营乡居住区储备开发项目代征绿地,110000,20917,公园与绿地,/,密云区檀营乡,0,156,1,北京市密云区园林绿化局,机关,1.11102E+17,北京市规划和国土资源管理委员会土地划拨结果公告,"<style> tr th, tr td { border: 1px solid #000; } </style> <div class=""tdcr-detail-wrap""> <table class=""list""> <tr> <th>受让方名称</th> <td>北京市密云区园林绿化局</td> </tr> <tr> <th>土地位置</th> <td>密云区檀营乡</td> </tr> <tr> <th>区县</th> <td>密云区</td> </tr> <tr> <th>宗地面积</th> <td>20916.758</td> </tr> <tr> <th>规划建筑面积</th> <td></td> </tr> <tr> <th>宗地用途</th> <td>公园与绿地</td> </tr> <tr> <th>签约时间</th> <td>2022-07-27</td> </tr> <tr> <th>容积率</th> <td>0</td> </tr> <tr> <th>发布时间</th> <td>2022-08-10</td> </tr> </table> </div>",2.02208E+13,2.02208E+13
,,,,,,,,0,,,,,,,2.01702E+13
,,,,,,,,0,,,,,,,2.01905E+13
,,,,,,,,0,,,,,,,2.01805E+13
,,,,,,,,0,,,,,,,2.01706E+13
,,,,,,,,0,,,,,,,2.01706E+13
,,,,,,,,0,,,,,,,2.01807E+13
,,,,,,,,0,,,,,,,2.02004E+13
,,,,,,,,0,,,,,,,2.01803E+13
,,,,,,,,0,,,,,,,2.0181E+13
,,,,,,,,0,,,,,,,2.01909E+13
,,,,,,,,0,,,,,,,2.01812E+13
,,,,,,,,0,,,,,,,2.01903E+13
,,,,,,,,0,,,,,,,2.01812E+13
,,,,,,,,0,,,,,,,2.01707E+13
,,,,,,,,0,,,,,,,2.01909E+13
,,,,,,,,0,,,,,,,2.01907E+13
,,,,,,,,0,,,,,,,2.01708E+13
,,,,,,,,0,,,,,,,2.01904E+13
,,,,,,,,0,,,,,,,2.01812E+13
,,,,,,,,0,,,,,,,2.02004E+13
,,,,,,,,0,,,,,,,2.0181E+13
,,,,,,,,0,,,,,,,2.0181E+13
,,,,,,,,0,,,,,,,2.01706E+13
北京师范大学附属实验中学顺义分校新建项目,110000,117366,科教用地,/,顺义区后沙峪镇顺义新城第21街区,0,156,1,北京市顺义区教育委员会,政府机关,11110110000092873D,北京市规划和国土资源管理委员会土地划拨结果公告,"<style> tr th, tr td { border: 1px solid #000; } </style> <div class=""tdcr-detail-wrap""> <table class=""list""> <tr> <th>受让方名称</th> <td>北京市顺义区教育委员会</td> </tr> <tr> <th>土地位置</th> <td>顺义区后沙峪镇顺义新城第21街区</td> </tr> <tr> <th>区县</th> <td>顺义区</td> </tr> <tr> <th>宗地面积</th> <td>117366.19</td> </tr> <tr> <th>规划建筑面积</th> <td>123120</td> </tr> <tr> <th>宗地用途</th> <td>科教用地</td> </tr> <tr> <th>签约时间</th> <td>2023-07-20</td> </tr> <tr> <th>容积率</th> <td>0.9</td> </tr> <tr> <th>发布时间</th> <td>2023-07-20</td> </tr> </table> </div>",2.02307E+13,2.02307E+13
,,,,,,,,0,,,,,,,2.0191E+13
,,,,,,,,0,,,,,,,2.01801E+13
,,,,,,,,0,,,,,,,2.01801E+13
,,,,,,,,0,,,,,,,2.01807E+13
,,,,,,,,0,,,,,,,2.01801E+13
,,,,,,,,0,,,,,,,2.01612E+13
,,,,,,,,0,,,,,,,2.0181E+13
,,,,,,,,0,,,,,,,2.01904E+13
,,,,,,,,0,,,,,,,2.02004E+13
,,,,,,,,0,,,,,,,2.01707E+13
,,,,,,,,0,,,,,,,2.01912E+13
,,,,,,,,0,,,,,,,2.01901E+13
,,,,,,,,0,,,,,,,2.0191E+13
,,,,,,,,0,,,,,,,2.01907E+13
,,,,,,,,0,,,,,,,2.01612E+13
,,,,,,,,0,,,,,,,2.01906E+13
,,,,,,,,0,,,,,,,2.01808E+13
,,,,,,,,0,,,,,,,2.01809E+13
,,,,,,,,0,,,,,,,2.01912E+13
,,,,,,,,0,,,,,,,2.01908E+13
,,,,,,,,0,,,,,,,2.01712E+13
,,,,,,,,0,,,,,,,2.01905E+13
,,,,,,,,0,,,,,,,2.02003E+13
,,,,,,,,0,,,,,,,2.01812E+13
,,,,,,,,0,,,,,,,2.01812E+13
,,,,,,,,0,,,,,,,2.0171E+13
,,,,,,,,0,,,,,,,2.01908E+13
北京新机场首都机场公安局警犬基地工程,110000,8525,机场用地,/,大兴区榆垡镇、礼贤镇 （W-02-01地块）,0,156,1,首都机场集团有限公司,在京央企,91100000101128791U,北京市规划和国土资源管理委员会土地划拨结果公告,"<style> tr th, tr td { border: 1px solid #000; } </style> <div class=""tdcr-detail-wrap""> <table class=""list""> <tr> <th>受让方名称</th> <td>首都机场集团有限公司</td> </tr> <tr> <th>土地位置</th> <td>大兴区榆垡镇、礼贤镇 （W-02-01地块）</td> </tr> <tr> <th>区县</th> <td>大兴区</td> </tr> <tr> <th>宗地面积</th> <td>8524.84</td> </tr> <tr> <th>规划建筑面积</th> <td>2944.05</td> </tr> <tr> <th>宗地用途</th> <td>机场用地</td> </tr> <tr> <th>签约时间</th> <td>2024-06-03</td> </tr> <tr> <th>容积率</th> <td>/</td> </tr> <tr> <th>发布时间</th> <td>2024-06-07</td> </tr> </table> </div>",2.02406E+13,2.02406E+13
,,,,,,,,0,,,,,,,2.01712E+13
,,,,,,,,0,,,,,,,2.01901E+13
,,,,,,,,0,,,,,,,2.01905E+13
,,,,,,,,0,,,,,,,2.01901E+13
北京市丰台区右安门街道亚林西土地一级开发0501-644、645、646、647等地块R2二类居住用地、B4综合性商业金融服务业用地、A334托幼用地,110106,0,"R2 二类居住用地,A3 教育科研用地,B4 综合性商业金融服务业用地","40,50,70",丰台区右安门街道,747000,156,1,华润置地开发（北京）有限公司,2,91110000670572104L,北京市丰台区右安门街道亚林西土地一级开发0501-644、645、646、647等地块R2二类居住用地、B4综合性商业金融服务业用地、A334托幼用地,"<div style=""font-size: 10px; line-height: 200%; font-weight: normal; color: #000000; background-color: #FFF; text-align: center; margin: 0 auto; padding: 0 5px; height: auto; width:80%; "">
	<table width=""100%"" border=""1px"" cellpadding=""5"" cellspacing=""0"" style=""margin-top:10px;font-size: 14px;word-break: break-word;white-space: pre-wrap;"">
		<tr>
			<td colspan=""4"" style="" text-align: center;"" >基本信息</td>
		</tr>
		<tr>
			<td style=""background-color: #d0e7f5;text-align:right;width:18%"">交易文件编号：</td>
			<td style="" text-align:left;width:32%"" >京土储挂（丰）[2022]029号</td>
			<td style=""background-color: #d0e7f5;text-align:right;width:18%"" >建设用地面积：</td>
			<td style="" text-align:left;width:32%"">61941.89 平方米</td>
		</tr>
		<tr>
			<td style=""background-color: #d0e7f5;text-align:right;width:18%"">代征地面积：</td>
			<td style="" text-align:left;width:32%"">0 平方米</td>
			<td style=""background-color: #d0e7f5;text-align:right;width:18%width:18%"">规划建筑面积：</td>
			<td style="" text-align:left;width:32%"">建筑控制规模 ≤205252平方米</td>
		</tr>
		<tr>
			<td style=""background-color: #d0e7f5;text-align:right;width:18%"">用地性质：</td>
			<td style="" text-align:left;width:32%"">R2 二类居住用地,A3 教育科研用地,B4 综合性商业金融服务业用地</td>
			<td style=""background-color: #d0e7f5;text-align:right;width:18%"">土地开发程度：</td>
			<td style="" text-align:left;width:32%"">七通一平</td>
		</tr>
		<tr>
			<td style=""background-color: #d0e7f5;text-align:right;width:18%"">地块位置：</td>
			<td style="" text-align:left;width:82%"" colspan=""3"">丰台区右安门街道</td>
		</tr>
		<tr>
			<td style="" text-align: center;"" colspan=""4"">交易信息</td>
		</tr>
					<tr>
				<td style=""background-color: #d0e7f5;text-align:right;width:18%"">挂牌竞价起始时间：</td>
				<td style="" text-align:left;width:32%"">2022年05月10日</td>
				<td style=""background-color: #d0e7f5;text-align:right;width:18%"">起始价：</td>
				<td style="" text-align:left;width:32%"">747000 万元</td>
			</tr>
			<tr>
				<td style=""background-color: #d0e7f5;text-align:right;width:18%"">挂牌竞买申请截止时间：</td>
				<td style="" text-align:left;width:32%"">2022年05月30日</td>
				<td style=""background-color: #d0e7f5;text-align:right;width:18%"">固定交易价格：</td>
				<td style="" text-align:left;width:32%"">
									无 
								</td>
				
			</tr>
			<tr>
				<td style=""background-color: #d0e7f5;text-align:right;width:18%"">挂牌竞价截止时间：</td>
				<td style="" text-align:left;width:32%"">2022年05月31日</td>
				<td style=""background-color: #d0e7f5;text-align:right;width:18%"">最小递增幅度：</td>
				<td style="" text-align:left;width:32%"">3800 万元</td>
			</tr>
			<tr>
				<td style=""background-color: #d0e7f5;text-align:right;width:18%"">保证金：</td>
				<td style="" text-align:left;width:32%"" colspan=""3"">150000 万元</td>
			</tr>
			<tr>
				<td style=""background-color: #d0e7f5;text-align:right;width:18%"">交易地点：</td>
				<td style="" text-align:left;width:32%"">市土地交易市场</td>
				<td style=""background-color: #d0e7f5;text-align:right;width:18%"">联系电话：</td>
				<td style="" text-align:left;width:32%"">010-55595198</td>
			</tr>
			
				<tr>
			<td style="" text-align: center;"" colspan=""4"">交易结果</td>
		</tr>
		<tr>
			<td style=""background-color: #d0e7f5;text-align:right;width:18%"">成交时间：</td>
			<td style="" text-align:left;width:32%"">2022年05月31日</td>
			<td style=""background-color: #d0e7f5;text-align:right;width:18%"">成交价格：</td>
			<td style="" text-align:left;width:32%"">747000 万元</td>
		</tr>
		<tr>
			<td style=""background-color: #d0e7f5;text-align:right;width:18%"">竞得人：</td>
			<td style="" text-align:left;width:32%"">华润置地开发（北京）有限公司</td>
			<td style=""background-color: #d0e7f5;text-align:right;width:18%"">其他竞得条件：</td>
			<td style="" text-align:left;width:32%""></td>
		</tr>
	</table>
</div>",2.02205E+13,2.02205E+13
,,,,,,,,0,,,,,,,2.0181E+13
,,,,,,,,0,,,,,,,2.01904E+13
,,,,,,,,0,,,,,,,2.0181E+13
,,,,,,,,0,,,,,,,2.01904E+13
海淀区京昌路楔形绿地棚户区改造项目（二期）——小月河科技园一号路,110000,3923,街巷用地（城镇村道路用地）,/,北京市海淀区东升镇,0,156,1,北京小月河科技园有限责任公司,其他有限责任公司,91110108078594400D,北京市规划和国土资源管理委员会土地划拨结果公告,"<style> tr th, tr td { border: 1px solid #000; } </style> <div class=""tdcr-detail-wrap""> <table class=""list""> <tr> <th>受让方名称</th> <td>北京小月河科技园有限责任公司</td> </tr> <tr> <th>土地位置</th> <td>北京市海淀区东升镇</td> </tr> <tr> <th>区县</th> <td>海淀区</td> </tr> <tr> <th>宗地面积</th> <td>3922.87</td> </tr> <tr> <th>规划建筑面积</th> <td></td> </tr> <tr> <th>宗地用途</th> <td>街巷用地（城镇村道路用地）</td> </tr> <tr> <th>签约时间</th> <td>2022-12-21</td> </tr> <tr> <th>容积率</th> <td>-</td> </tr> <tr> <th>发布时间</th> <td>2022-12-22</td> </tr> </table> </div>",2.02212E+13,2.02212E+13
,,,,,,,,0,,,,,,,2.0181E+13
,,,,,,,,0,,,,,,,2.0191E+13
,,,,,,,,0,,,,,,,2.01706E+13
,,,,,,,,0,,,,,,,2.01706E+13
,,,,,,,,0,,,,,,,2.02008E+13
,,,,,,,,0,,,,,,,2.01904E+13
,,,,,,,,0,,,,,,,2.01812E+13
,,,,,,,,0,,,,,,,2.01812E+13
,,,,,,,,0,,,,,,,2.01905E+13
安庄110千伏输变电工程,110000,4000,公共设施用地,/,北京市房山区西潞街道,0,156,1,国网北京市电力公司,有限责任公司,9.111E+17,北京市规划和国土资源管理委员会土地划拨结果公告,"<style> tr th, tr td { border: 1px solid #000; } </style> <div class=""tdcr-detail-wrap""> <table class=""list""> <tr> <th>受让方名称</th> <td>国网北京市电力公司</td> </tr> <tr> <th>土地位置</th> <td>北京市房山区西潞街道</td> </tr> <tr> <th>区县</th> <td>房山区</td> </tr> <tr> <th>宗地面积</th> <td>4000</td> </tr> <tr> <th>规划建筑面积</th> <td>3088</td> </tr> <tr> <th>宗地用途</th> <td>公共设施用地</td> </tr> <tr> <th>签约时间</th> <td>2024-07-15</td> </tr> <tr> <th>容积率</th> <td>0.45</td> </tr> <tr> <th>发布时间</th> <td>2024-07-15</td> </tr> </table> </div>",2.02407E+13,2.02407E+13
,,,,,,,,0,,,,,,,2.02006E+13
,,,,,,,,0,,,,,,,2.01905E+13
,,,,,,,,0,,,,,,,2.01911E+13
,,,,,,,,0,,,,,,,2.01903E+13
,,,,,,,,0,,,,,,,2.01703E+13
,,,,,,,,0,,,,,,,2.01905E+13
,,,,,,,,0,,,,,,,2.01902E+13
,,,,,,,,0,,,,,,,2.01906E+13
,,,,,,,,0,,,,,,,2.01908E+13
,,,,,,,,0,,,,,,,2.02004E+13
,,,,,,,,0,,,,,,,2.01711E+13
,,,,,,,,0,,,,,,,2.01803E+13
,,,,,,,,0,,,,,,,2.02001E+13
,,,,,,,,0,,,,,,,2.01909E+13
陕京二线输气管道采育至通州段通州东站,110000,14050,公共设施用地,/,通州区东堡村南,0,156,1,国家管网集团北京管道有限公司,有限责任公司(外商投资企业与内资合资),9.111E+17,北京市规划和国土资源管理委员会土地划拨结果公告,"<style> tr th, tr td { border: 1px solid #000; } </style> <div class=""tdcr-detail-wrap""> <table class=""list""> <tr> <th>受让方名称</th> <td>国家管网集团北京管道有限公司</td> </tr> <tr> <th>土地位置</th> <td>通州区东堡村南</td> </tr> <tr> <th>区县</th> <td>通州区</td> </tr> <tr> <th>宗地面积</th> <td>14050</td> </tr> <tr> <th>规划建筑面积</th> <td>713.12</td> </tr> <tr> <th>宗地用途</th> <td>公共设施用地</td> </tr> <tr> <th>签约时间</th> <td>2022-08-19</td> </tr> <tr> <th>容积率</th> <td></td> </tr> <tr> <th>发布时间</th> <td>2022-11-09</td> </tr> </table> </div>",2.02211E+13,2.02211E+13
,,,,,,,,0,,,,,,,2.01911E+13
,,,,,,,,0,,,,,,,2.01909E+13
,,,,,,,,0,,,,,,,2.01901E+13
,,,,,,,,0,,,,,,,2.01812E+13
,,,,,,,,0,,,,,,,2.01712E+13
,,,,,,,,0,,,,,,,2.01807E+13
,,,,,,,,0,,,,,,,2.01803E+13
,,,,,,,,0,,,,,,,2.02003E+13
,,,,,,,,0,,,,,,,2.01801E+13
,,,,,,,,0,,,,,,,2.02005E+13
,,,,,,,,0,,,,,,,2.0191E+13
,,,,,,,,0,,,,,,,2.01809E+13
,,,,,,,,0,,,,,,,2.01812E+13
,,,,,,,,0,,,,,,,2.01902E+13
,,,,,,,,0,,,,,,,2.01712E+13
,,,,,,,,0,,,,,,,2.01807E+13
,,,,,,,,0,,,,,,,2.01811E+13
,,,,,,,,0,,,,,,,2.0191E+13
,,,,,,,,0,,,,,,,2.01809E+13
,,,,,,,,0,,,,,,,2.02005E+13
,,,,,,,,0,,,,,,,2.0181E+13
,,,,,,,,0,,,,,,,2.01905E+13
,,,,,,,,0,,,,,,,2.01907E+13
,,,,,,,,0,,,,,,,2.01806E+13
,,,,,,,,0,,,,,,,2.0171E+13
,,,,,,,,0,,,,,,,2.01812E+13
