序号*,年份*,企业名称*,详细地址*,重点行业类型*,重点行业分支*,其他行业类型,管控类型*,红色预警_减排措施*,橙色预警_减排措施*,黄色预警_减排措施*
118,2020,北京庆铃汽车服务有限责任公司,靛厂村214号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
119,2020,北京市惠泽汽车服务有限公司,丰台镇造甲街5号118室,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
120,2020,北京新兴福庆汽车销售服务有限公司,长辛店镇杜家坎1号8幢（平房）,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
121,2020,北京建宇行汽车修理有限公司,万丰路317号,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
122,2020,北京祥瑞通辉汽车服务有限公司,右安门外南三环小草桥300路总站东侧,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
123,2020,北京极驰之星汽车服务有限公司,新村巴庄子124号（1-8）幢,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
124,2020,北京九天六和汽车销售有限公司丰台分公司,赵辛店村412号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
125,2020,北京鸿都汽车集团有限公司,南三环西路33号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
126,2020,北京中兆富汽车销售有限公司,北京丰台区南四环中路260号东厅15号,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
127,2020,诚合（北京）汽车服务有限公司,五里店59号东1幢、2幢,其他,其他工业,汽车维修业,地方C,烤漆房、调漆间停用,烤漆房、调漆间停用,自主采取减排措施
128,2020,北京众业达兴汽车销售有限公司,大瓦窑782号5幢,其他,其他工业,汽车维修业,地方C,烤漆房停用,烤漆房停用,自主采取减排措施
