规则：1、数据来源于双公示数据。2、日期按照决定日期选择1月日至6月30日。3、删除公示截止期小于6月30日的处罚。4、详情组合认定依据、违法事由、处罚依据、处罚内容,/,/,/,/,/,/,/,/,/,/
序号,行政相对人名称,处罚决定书文号,详情,,,,,处罚决定书决定日期,处罚公示期限,办案机关
166,四川省德阳大建劳务开发有限责任公司,京建法罚（市）字[2023]第010012号,《北京市建设工程施工现场管理办法》第三十一条,北京地铁16号线工程土建施工27合同段位于北京市丰台区，模板脚手架工程专业分包单位为四川省德阳大建劳务开发有限责任公司。2022年10月19日北京市住房和城乡建设委员会执法人员现场检查时，施工现场存在以下问题：1、食堂公寓楼一层后浇带承插盘扣式支撑架可调托撑伸出顶层水平杆长度超过650mm，不符合《建筑施工承插型盘扣式钢管脚手架安全技术标准》（JGJ/T231-2021）第6.2.4条“支撑架可调托撑伸出顶层水平杆或双槽托梁中心线的悬臂长度不应超过650mm”的规定。四川省德阳大建劳务开发有限责任公司的上述行为违反了1条技术标准，未违反强制性条文，属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《北京市建设工程施工现场管理办法》第三十一条,罚款,给予四川省德阳大建劳务开发有限责任公司处5500.00元罚款的行政处罚,2023-03-13,2024-03-13,北京市住房和城乡建设委员会
167,上海宝冶集团有限公司,京建法罚（市）字[2023]第010006号,《建设工程质量管理条例》第六十五条,经本机关立案调查，查明你单位存在以下违法事实：通过本机关2022年2月22日现场检查笔录、责令改正通知书（京建法改(市)字[2021]第020816号）及执法人员2023年2月7日对当事人上海宝冶集团有限公司的委托代理人王松松、朱冠军的询问，以及调取有关资料，查明：上海宝冶集团有限公司是北京市朝阳区东坝北东南一期土地储备项目1104-612西侧地块R2二类居住用地（1#住宅楼等10项）总承包施工单位。2022年2月22日，北京市住房和城乡建设委员会执法人员现场检查时，发现上海宝冶集团有限公司在该工程施工过程中存在以下问题：施工现场预拌混凝土运输单显示2022年2月7日至8日在地库三段筏板基础浇筑C35P8混凝土921立方米，现场标养室内该部位仅留置了8组用于检验混凝土强度的试块，按照《混凝土结构工程施工质量验收规范》（GB50204-2015）第7.4.1条的规定，该部位应至少留置10组用于检验混凝土强度的试块。你单位的上述行为属于在施工中未对商品混凝土进行检验的行为，没有造成质量事故。上述问题直接负责的主管人员是项目负责人王松松，其他直接责任人员是项目总工程师朱冠军。上述违法事实清楚，证据确实、充分。当事人对违法事实予以认可。,《建设工程质量管理条例》第六十五条,罚款,给予上海宝冶集团有限公司处125000.00元罚款的行政处罚,2023-03-14,2024-03-14,北京市住房和城乡建设委员会
168,北京爱地地质工程技术有限公司,京建法罚（市）字[2023]第010011号,《中华人民共和国建筑法》第七十一条第一款；《北京市建设工程施工现场管理办法》第三十一条,首钢二通产业园区1615-615地块文化创意产业大厦项目（产业大厦等4项）位于北京市丰台区吴家村梅市口路首钢二通产业园区，基坑支护工程分包单位为北京爱地地质工程技术有限公司。2022年11月8日北京市住房和城乡建设委员会执法人员现场检查时，施工现场存在以下问题：1、该工程基坑开挖至12米，现场仅设置1个人员上下马道，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.2.8条“基坑深度超过3m的，应分别在基坑两端设置人员上下爬梯或坡道”的规定。北京爱地地质工程技术有限公司的上述行为违反了1条技术标准，未违反强制性条款，属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《中华人民共和国建筑法》第七十一条第一款；《北京市建设工程施工现场管理办法》第三十一条,罚款,处1000元以上1万元以下罚款,2023-03-13,2024-03-13,北京市住房和城乡建设委员会
169,中天建设集团有限公司,京建法罚（市）字[2023]第010019号,《危险性较大的分部分项工程安全管理规定》第三十五条第（二）项,位于通州区张家湾镇的通州区张家湾镇南火垡村集体土地租赁住房项目TZ04-0200-0001、TZ04-0200-0002地块土护降施工工程，建设单位为北京通投兴运置业有限公司，监理单位为北京市潞运建设工程监理服务中心，施工单位为中天建设集团有限公司。该工程TZ04-0200-0001地块基坑开挖深度为5.65m-11.87m，采用“护坡桩+预应力锚杆”支护体系、“复合土钉墙”、“土钉墙”、“悬臂桩”、“挂网锚喷”支护形式，分为8个支护段，其中两个支护段（1、2a）的侧壁安全等级为二级，其余为三级；该工程TZ04-0200-0002地块基坑开挖深度为5.65m-11.62m，采用“上部土钉墙+悬臂桩”支护体系、“护坡桩+预应力锚杆”支护体系、“复合土钉墙”、“土钉墙”、“悬臂桩”、“挂网锚喷”支护形式，分为13个支护段，其中四个支护段（2、3、4、5）的侧壁安全等级为二级，其余为三级。2022年11月2日本机关现场检查时，基坑已经开挖到底，正在进行地下主体结构施工，底板尚未全部浇筑完成。依据《住房城乡建设部办公厅关于实施<危险性较大的分部分项工程安全管理规定>有关问题的通知》(建办质〔2018〕31号)附件2第一条开挖深度超过5m（含5m）的基坑支护工程属于超过一定规模的危险性较大的分部分项工程的规定，检查当日，中天建设集团有限公司存在以下问题：1.中天建设集团有限公司自2022年9月9日起对围护墙（边坡）顶部水平位移、围护墙（边坡）顶部竖向位移的监测频率为1次/7d，不符合《建筑基坑工程监测技术标准》（GB50497-2019）第7.0.3条表7.0.3中安全等级为二级的基坑工程，开挖深度为2/3H-H，监测频率为1次/d的要求；2.中天建设集团有限公司自2022年7月6日至7月21日未对地下水位进行监测，现场获取的《地下水位观测日报表》中上次高程一项均为相同数值，系伪造资料，与《建筑基坑工程监测技术标准》（GB50497-2019）第4.2.1条表4.2.1中地下水位为安全等级为二级、三级的基坑工程应测的监测项目的要求；3.中天建设集团有限公司自开挖之日起未对深层水平位移进行监测，不符合《建筑基坑工程监测技术标准》（GB50497-2019）第4.2.1条表4.2.1深层水平位移为安全等级为二级的基坑工程应测的监测项目的要求。中天建设集团有限公司的上述行为属于施工单位未按照规定对危大工程进行施工监测的行为。,《危险性较大的分部分项工程安全管理规定》第三十五条第（二）项,罚款,给予中天建设集团有限公司处20000元罚款的行政处罚,2023-04-03,2023-10-03,北京市住房和城乡建设委员会
170,北京千悦物业管理有限公司,京建法罚（市）字[2023]第010086号,《北京市住房租赁条例》第六十九条第一款第（二）项,经查，你单位北京千悦物业管理有限公司作为住房租赁企业，在未实际承租物资学院路3号新建村9栋3单元2503号房屋的情况下，于2023年2月2日在安居客网站上（https://bj.zu.anjuke.com/fangyuan/2880819416800263）发布了一条名称为“地铁6号线 直达朝阳门.青年路 物资学院路 新建村 电梯房”的房源出租信息，你公司上述行为已构成发布房源信息、推荐房源不真实、不准确，违反了《北京市住房租赁条例》第三十三条的规定。北京市住房和城乡建设委员会于2023年2月28日向你公司下达了责令改正通知书（编号为京建法改（市）字[2023]第010066号），责令你公司于2023年3月6日前改正该行为。你公司于2023年3月6日提交了整改报告，经复核，已在规定期限内改正了违法行为，复核合格。,《北京市住房租赁条例》第六十九条第一款第（二）项,罚款,给予你单位处以3万元罚款的行政处罚,2023-04-03,2023-10-03,北京市住房和城乡建设委员会
171,北京路鹏达建设发展有限责任公司,京建法罚（市）字[2023]第010053号,《北京市建设工程施工现场管理办法》第三十一条,本机关于2023年2月27日对你单位在昌平区领秀慧谷小区西侧九年一贯制学校（1#综合教学楼等7项）项目施工过程中涉嫌存在施工单位未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为予以立案，开展调查。根据2023年2月27日对你单位委托代理人的询问，以及调取有关资料，查明：你单位是该工程的施工总承包单位。2022年10月19日，你单位在该工程施工现场存在以下问题：1.1#综合教学楼首层东侧一台开关箱内无连接金属箱门与金属箱体的编制软铜线，金属箱门与金属箱体未做电气连接，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.1.13条的规定；2.1#综合教学楼首层东侧一台开关箱箱门脱落，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.10.8条的要求；3.施工现场东北侧一台分配电箱无系统接线图，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.3.1条的规定；4.1#综合教学楼27#高处作业吊篮设置作业人员专用挂设安全带的安全绳有断股现象，不符合《建筑施工工具式脚手架安全技术规范》（JGJ202-2010）第5.5.1条第2项的规定；5.1#综合教学楼24#高处作业吊篮未安装上限位装置，不符合《建筑施工工具式脚手架安全技术规范》（JGJ202-2010）第5.5.3条的规定。上述违法事实清楚，证据确实、充分。当事人对违法事实予以认可。未发现你单位有其他适用减轻、从轻或从重处罚的情形。        ,《北京市建设工程施工现场管理办法》第三十一条,罚款,给予北京路鹏达建设发展有限责任公司处5500元罚款的行政处罚。,2023-04-14,2024-04-14,北京市住房和城乡建设委员会
172,北京瑞鸿源建筑工程有限公司,京建法罚（市）字[2023]第010045号,《北京市建设工程施工现场管理办法》第三十一条,本机关于2023年2月23日对你单位在昌平区领秀慧谷小区西侧九年一贯制学校（1#综合教学楼等7项）项目施工过程中涉嫌存在施工单位未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为予以立案，开展调查。根据2023年2月23日对你单位委托代理人的询问，以及调取有关资料，查明：你单位是该工程的装饰装修工程专业分包施工单位。2022年10月19日，你单位在该工程施工现场存在以下问题：1.1#综合教学楼首层北侧北京瑞鸿源建筑工程有限公司使用的一台开关箱箱门脱落，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.10.8条的要求；2.1#综合教学楼首层北侧北京瑞鸿源建筑工程有限公司使用的移动式开关箱放置在地面上，未装设在坚固、稳定的支架上，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.1.8条的规定；3.1#综合教学楼首层北侧北京瑞鸿源建筑工程有限公司使用的一台开关箱无系统接线图，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.3.1条的规定；4.1#综合教学楼二层东侧北京瑞鸿源建筑工程有限公司使用的一台分配电箱出线的PE线颜色为黄色，未使用绿/黄双色线，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第5.1.11条的规定。上述违法事实清楚，证据确实、充分。当事人对违法事实予以认可。未发现你单位有其他适用减轻、从轻或从重处罚的情形。,《北京市建设工程施工现场管理办法》第三十一条,罚款,给予北京瑞鸿源建筑工程有限公司处5500元罚款的行政处罚,2023-04-14,2024-04-14,北京市住房和城乡建设委员会
173,北京房地集团有限公司,京建法罚（市）字[2022]第010592号,《北京市建设工程施工现场管理办法》第三十一条,你单位北京房地集团有限公司是位于北京市东城区崇外大街100号的普仁医院病房楼改造项目的施工总承包单位。2022年07月19日北京市建设工程安全质量监督总站检查人员现场检查时，发现你单位在所负责的施工现场存在以下的问题：1、该工程西侧楼梯间首层顶板处设置的型钢悬挑脚手架悬挑梁尾端仅设置1 处锚固措施固定于混凝土梯板结构，不符合《建筑施工扣件式钢管脚手架安全技术规范》（JGJ130-2011）第6.10.2条“悬挑梁尾端应在两处及以上固定于钢筋混凝土梁板结构上”；2、该工程西侧楼梯间首层顶板处设置的型钢悬挑脚手架悬挑梁尾端设置的U型钢筋拉环使用螺纹钢，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11／945-2012）第2.4.25条的要求；3、该工程首层高度4.6m，南侧宽度48m范围内搭设的落地式双排脚手架，首层未设置连墙件，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11／945-2012）第2.4.14条的要求；4、该工程施工现场二层使用的切割机、沟槽机直接从分配电箱取电，未各自设置专用开关箱，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第8.1.3条的要求。其中《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11／945-2012）第2.4.25条和《施工现场临时用电安全技术规范》（JGJ46-2005）第8.1.3条为强制性条文。你单位在规定时间内提出了陈述申辩意见，我单位对陈述及申辩意见进行了进一步调查核实，经综合研判，决定不予采纳。你单位未严格按照建筑业安全作业标准进行施工，造成事故隐患。,《北京市建设工程施工现场管理办法》第三十一条,罚款,处20000元罚款,2023-04-18,2025-04-18,北京市住房和城乡建设委员会
174,北京筱寓物业管理有限公司,京建法罚（市）字[2023]第010171号,《北京市住房租赁条例》第六十七条第(五）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671000B010,经查，你单位北京筱寓物业管理有限公司作为住房租赁企业，在组织出租人与承租人签订签订位于通州区高菜路56号8号楼18110的房屋租赁合同前，未编制房屋状况说明书，未向意向承租人书面告知有关情况。北京市住房和城乡建设委员会于2023年3月28日向你公司下达了责令改正通知书（编号为京建法改（市）字[2023]第010115号），责令你公司于2023年4月4日前改正该行为。你公司于2023年4月3日提交了整改报告，经复核，你公司已在规定期限内改正了违法行为，复核合格。在调查过程中未发现你单位有适用减轻、从轻或从重的违法情节。,《北京市住房租赁条例》第六十七条第(五）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1671000B010,罚款,给予你单位处以12500.00元的罚款,2023-04-20,2023-10-20,北京市住房和城乡建设委员会
175,中铁十二局集团有限公司,京建法罚（市）字[2023]第010130号,《中华人民共和国建筑法》第七十一条第一款；《北京市建设工程施工现场管理办法》第三十一条,位于北京市通州区的北京地铁6号线二期工程土建施工21合同段，建设单位为北京市轨道交通建设管理有限公司，监理单位为中咨工程管理咨询有限公司，施工总承包单位为中铁十二局集团有限公司。2023年2月13日本机关现场检查时，中铁十二局集团有限公司在该工程新华大街站（S6线预留工程）施工现场存在以下安全隐患：1.新华大街站（S6线预留工程）15-17轴第三道钢支撑架设不及时，该部位土方于2022年12月29日开挖至设计标高，在土方开挖至设计标高后，未在24h内安装到位，截至现场检查时仍未安装，与《基坑工程内支撑技术规程》（DB11/940-2012）第4.5.2条“土方开挖至设计标高后，钢支撑应当在24h内安装到位，并施加预加压力”的要求不符。2.新华大街站（S6线预留工程）施工现场一台三级箱（编号KXC-08）分断路器出线部分防护罩缺失，与《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.10.10条“配电箱、开关箱内电器必须可靠、完好，电器规格、型号和布置固定符合规范要求”的要求不符。3.新华大街站（S6线预留工程）43-44轴侧墙钢筋施工作业用脚手架操作面外侧未设置护身栏杆和挡脚板，与《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11/945-2012）第2.4.18条“作业层脚手板应铺满、铺稳、铺实，不得有空隙和探头板、飞跳板，距墙面间距不得大于200mm。操作面外侧应设一道护身栏杆和高度不小于180mm的挡脚板”的要求不符。中铁十二局集团有限公司的上述行为违反3条技术标准，但不违反强制性条文，可能造成坍塌、触电、高处坠落事故，存在安全事故隐患，属于未严格按照建筑业安全作业标准进行施工，造成事故隐患的行为。,《中华人民共和国建筑法》第七十一条第一款；《北京市建设工程施工现场管理办法》第三十一条,罚款,给予你单位处5500元罚款的行政处罚,2023-04-12,2024-04-12,北京市住房和城乡建设委员会
176,北京佳惠信达科技有限公司,京建法罚（市）字[2023]第010141号,《中华人民共和国行政许可法》第七十八条和《建筑业企业资质管理规定》第三十五条,2022年10月，你单位北京佳惠信达科技有限公司在申请电子与智能化工程专业承包壹级资质时，提交的辽宁省营口市“中天·英伦名邸分包项目-建筑智能化”、“中天·御荷苑小区施工工程（建筑智能化工程）”和“皇家英里建筑智能化工程”三项工程业绩不属实。你单位未取得电子与智能化工程专业承包壹级资质，你单位的上述行为属于提供虚假材料申请建筑业企业资质的行为。,《中华人民共和国行政许可法》第七十八条和《建筑业企业资质管理规定》第三十五条,警告,责令你单位15日内改正违法行为，给予警告，一年内不得再次申请该项建筑业企业资质（电子与智能化工程专业承包资质）,2023-04-25,2023-07-25,北京市住房和城乡建设委员会
177,北京市瀛海市政工程服务中心,京建法罚（市）字[2023]第010108号,《危险性较大的分部分项工程安全管理规定》第三十五条第（二）项,你单位是位于北京经济技术开发区瀛海镇YZ00-0803-0012地块的瀛海镇集体经营性建设用地YZ00-0803-0012地块（经开区国际人才社区1号地块）项目（1#专家楼（住宅）等25项）的土方、支护及地基处理专业分包施工单位。该项目基坑开挖深度为5.95m-10.15m，按照《住房城乡建设部办公厅关于实施<危险性较大的分部分项工程安全管理规定>有关问题的通知》（建办质[2018]31号）附件2第一条的规定，该基坑工程属于超过一定规模的危险性较大的分部分项工程。2022年11月9日执法人员对该项目进行现场检查时，基坑开挖至基底，你单位自开挖之日起未对锚杆轴力、周边地表竖向位移、深层水平位移、地下水位进行监测，不符合《建筑基坑工程监测技术标准》（GB50497-2019）第4.2.1条的要求。你单位上述行为可能会导致安全事故的发生，属于未按照规定进行施工监测的行为。该行为直接负责的主管人员是孙锡涛，其他直接责任人员是刘凯华。,《危险性较大的分部分项工程安全管理规定》第三十五条第（二）项,罚款,给予你单位处20000.00元罚款的行政处罚,2023-04-25,2023-10-25,北京市住房和城乡建设委员会
178,北京方能机电有限公司,京建法罚（市）字[2023]第010144号,《中华人民共和国行政许可法》第七十八条和《建筑业企业资质管理规定》第三十五条,2022年8月，你单位北京方能机电有限公司在申请电子与智能化工程专业承包壹级资质时，提交的四川省德阳市“德阳瑞麟·东方酒店建筑智能化工程”、“黍森豪丽酒店建筑智能化升级改造工程”和“逸品国际二期A#商业楼及地下室建筑智能化工程”三项工程业绩不属实。你单位未取得电子与智能化工程专业承包壹级资质，你单位的上述行为属于提供虚假材料申请建筑业企业资质的行为。,《中华人民共和国行政许可法》第七十八条和《建筑业企业资质管理规定》第三十五条,警告,责令你单位15日内改正违法行为，给予警告，一年内不得再次申请该项建筑业企业资质（电子与智能化工程专业承包资质）,2023-04-25,2023-07-25,北京市住房和城乡建设委员会
179,北京大汉建设建筑工程有限公司,京建法罚（市）字[2023]第010079号,《北京市建设工程质量条例》第七十五条第一款,北京大汉建设建筑工程有限公司是顺义区仁和镇临河村棚户区改造土地开发C片区SY00-0007-6057 等地块二类居住用地、商业用地、其他类多功能用地、公交场站设施用地和社区卫生服务中心用地项目（2-1#住宅楼、2-2#住宅楼、2-3#住宅楼、2-4#住宅楼、2-5#住宅楼、2-6#住宅楼、2-7#住宅楼、2-8#住宅楼、S2-1#商业楼、S2-2#配套楼、2#地下车库、3-1#住宅楼、3-2#住宅楼、3-3#住宅楼、3-4#住宅楼、3-5#住宅楼、3-6#住宅楼、3-7#住宅楼、3-8#住宅楼、3-9#住宅楼、3-10#住宅楼、3-12#住宅楼、3-13#住宅楼、S3-1#配套楼、S3-2#配套楼、3#地下车库、4-1#门诊楼、4-2发热门诊楼、4#地下车库）外立面装饰工程专业分包单位，本机关2022年9月21日现场检查时发现，2-8#住宅楼外墙保温材料为石墨聚苯板，石墨聚苯板外墙外保温系统与基层墙体采用粘锚结合的联结方式，按照东、南、西、北四个立面划分为四个检验批，现场检查时2-8#住宅楼外墙涂料已基本施工完成，你公司作为外立面装饰工程专业分包单位在施工过程中仅对2-8#住宅楼进行一组保温板材与基层的拉伸粘结强度现场拉拔，未进行保温板粘结面积比检验，不符合《建筑节能与可再生能源利用通用规范》（GB55015-2021）第6.2.4条第2项的规定。你公司在施工中存在不按照施工技术标准施工的行为。该行为未造成质量事故，涉及的2-8#住宅楼外墙保温分项工程合同价款为204132.21元。你公司上述行为直接负责的主管人员是刘小青，其他直接负责人员是薛艳红，本案未发现其他适用减轻、从轻或从重的情节。,《北京市建设工程质量条例》第七十五条第一款,罚款,对你单位处涉案外墙保温分项工程合同价款(204132.21元)2.5%的罚款，罚款金额为5103.31元。,2023-04-14,2024-04-14,北京市住房和城乡建设委员会
180,北京森桦建业防水工程有限公司,京建法罚（市）字[2023]第010049号,《北京市建设工程质量条例》第七十五条第一款和《北京市住房城乡建设系统行政处罚裁量基准》职权编码C1663500A010,通过2022年11月1日对位于丰台区卢沟桥乡西局村的西局村集体租赁住房项目一进行现场检查和对你单位委托代理人王盼望的询问，以及调取有关资料，查明该工程建设单位为北京华宇天宏投资管理公司，监理单位为北京国金管理咨询有限公司，施工总承包为北京市市政四建设工程有限责任公司，你单位为该工程外墙外保温工程专业分包施工单位。2022年11月1日现场检查时，该工程外墙外保温工程专业分包施工单位在施工过程中存在以下问题：1#楼外墙外保温板材采用粘结砂浆和锚栓固定，1#楼已完成东立面、西立面、北立面墙体节能检验批质量验收，且1#楼东立面、西立面、北立面外墙涂料已施工完毕，外墙外保温分包施工单位不能提供保温板材与基层之间的拉伸粘结强度现场拉拔试验资料和粘结面积比剥离检验资料，经现场询问，外墙外保温分包施工单位未对保温板材与基层之间的拉伸粘结强度进行现场拉拔试验、未对保温板材与基层之间的粘结面积比进行剥离检验，不符合《建筑节能与可再生能源利用通用规范》(GB550515-2021)第6.2.4.2条的要求。上述行为直接涉及的合同价款为西局村集体租赁住房项目一1#清单报价汇总表第1.1项的金额，具体为704853.32元。施工现场北京森桦建业防水工程有限公司直接负责的主管人员是王盼望，其他直接责任人员是甄德良。你单位存在不按照施工技术标准施工的行为。,《北京市建设工程质量条例》第七十五条第一款和《北京市住房城乡建设系统行政处罚裁量基准》职权编码C1663500A010,罚款,给予你单位处工程合同价款704853.32元2.5%的罚款，罚款金额为17621.33元的,2023-05-04,2024-05-04,北京市住房和城乡建设委员会
181,江苏中益建设集团有限公司,京建法罚（市）字[2023]第010066号,《危险性较大的分部分项工程安全管理规定》第三十五条第（二）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667700B020,"房山区拱辰街道FS00-LX04-0087、0093、0092、0085地块R2二类居住用地、B1商业用地、A33基础教育用地项目（87-1#住宅楼等15项）由北京鑫汇房地产开发有限公司建设，中天建设集团有限公司总承包施工，中科金石（北京）工程咨询有限公司监理，你单位是基坑支护、降水及地基处理专业分包单位，2022年11月2日本机关检查时，施工现场存在以下问题：该基坑开挖深度为4.47-7.92m，开挖深度超过5m，属于超过一定规模的危险性较大的分部分项工程。基坑支护方案共分为18个支护断面，采用桩顶挡墙+600mm单排桩，桩间距1200mm+预应力锚杆支护形式+桩间高压旋喷700mm@400,基坑工程安全等级为二级。基坑西北角位置有一条通讯缆线管沟，距离基坑边线5m左右，基坑东侧距离基坑边线8m左右有一条直埋电力缆线，埋深约1m，基坑东部中间位置开始有并行排列的两根直径200mm的热力管线，该管线沿地块南侧向西延伸离开本地块，埋深1-1.4m，距离基坑边线2.1-5m，基坑西侧距离基坑边线11m左右有自北向南的直埋电力缆线，埋深0.7m，基坑于2022年4月1日开挖，现场检查时基坑开挖已完成、基坑未回填，你单位作为基坑支护工程专业分包施工单位不能提供自开挖之日至2022年11月2日期间的基坑周边管线竖向位移的监测记录。你单位未对基坑周边管线竖向位移进行监测的行为，不符合《建筑基坑工程监测技术标准》（GB50497-2019）第4.2.1条的要求，你单位上述行为已构成未按照规定对危大工程进行施工监测。",《危险性较大的分部分项工程安全管理规定》第三十五条第（二）项和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1667700B020,罚款,给予你单位处2万元罚款的行政处罚。,2023-04-25,2023-10-25,北京市住房和城乡建设委员会
182,北京市合利看丹混凝土有限公司,京建法罚（市）字[2023]第010023号,《北京市建设工程质量条例》第七十九条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1663900A010,本机关于2022年10月10日对你单位用于预拌混凝土生产的原材料质量进行现场抽样并进行检验。2022年10月21日出具了委托编号为2022-23479的掺合料试验报告，报告结论为：“依据GB/T1596-2017《用于水泥和混凝土中的粉煤灰》，所检项目中，细度、需水量比不符合F类Ⅱ级拌制混凝土和砂浆用粉煤灰技术要求。”违反了GB50164-2011《混凝土质量控制标准》第2.4.1条的规定，属于不合格原材料。该批次原材料已用于预拌混凝土生产。你单位使用检验不合格的原材料行为未造成质量事故。,《北京市建设工程质量条例》第七十九条和《北京市住房城乡建设系统行政处罚裁量基准》职权编号C1663900A010,罚款,对你单位处12.5万元罚款的行政处罚,2023-05-04,2024-05-04,北京市住房和城乡建设委员会
183,北京双盈达建设集团有限公司,京建法罚（市）字[2023]第010104号,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》C1667000A010,你单位北京双盈达建设集团有限公司是位于北京市西城区宣武门西大街57号的新华社宣武门西大街57号院3号楼综合维修改造项目的施工总承包单位。2023年10月11日北京市建设工程安全质量监督总站检查人员现场检查时，发现你单位在所负责的施工现场存在以下的问题：1．施工现场3＃楼南侧外脚手架作业层脚手板未铺满铺实，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11／945-2012）第2.4.18条的要求；2．施工现场3＃楼一层一分配电箱出线中的PE线的绝缘颜色未采用绿／黄双色，不符合《施工现场临时用电安全技术规范》（JGJ46-2005）第5.1.11条的要求；3．施工现场首层一开关箱箱体正面门内侧面未设本箱单线系统图，不符合《建设工程施工现场安全防护、场容卫生及消防保卫标准》（DB11／945-2012）第2.10.10条的要求。你单位未严格按照建筑业安全作业标准进行施工，造成事故隐患。违反了3条技术规程或标准，但不违反强制性条文。本案无减轻、从轻或从重情节。,《北京市建设工程施工现场管理办法》第三十一条和《北京市住房城乡建设系统行政处罚裁量基准》C1667000A010,罚款,给予你单位处5500元罚款的行政处罚,2023-05-06,2024-05-06,北京市住房和城乡建设委员会
184,中交第三公路工程局有限公司,京建法罚（市）字[2023]第010263号,《建筑施工企业安全生产许可证管理规定》第二十三条和《北京市住房城乡建设系统行政处罚裁量基准》基准编号C1635600A020,2023年4月28日，北京市顺义区赵全营镇兆丰产业基地细胞基因工程（A1研发楼等9项）发生生产安全事故，该工程总承包施工单位为中交第三公路工程局有限公司。北京市住房和城乡建设委员会执法人员于2023年5月8日09点30分至2023年5月8日12点30分对位于顺义区国门商务区鑫桥中路的中交第三公路工程局有限公司安全生产条件执法检查发现其存在以下问题：1.公司安全生产责任制中未明确具体各岗位人员职责，仅有人员共有安全生产职责，无法体现出各部门不同岗位在安全生产管理过程中的差异性，不符合《国务院安委会办公室关于全面加强企业全员安全生产责任制工作的通知》（安委办〔2017〕29号）中第（三）条的规定，属于未健全安全生产责任制，违反了《建筑施工企业安全生产许可证管理规定》第四条第（一）项的规定；2.该公司全员安全生产责任制考核以部室为单位进行考核，未明确各岗位的考核标准，不符合《中华人民共和国安全生产法》第二十二条的规定，属于公司安全生产责任制不健全的行为，违反了《建筑施工企业安全生产许可证管理规定》第四条第（一）项的规定；3.2022年该公司共有192名职员，其中管理人员192名，2022年度公司应对管理人员进行安全生产教育培训192人，实际培训180人，不符合《建筑施工企业安全生产许可证管理规定》第四条第（六）项的规定；4.所承接工程施工项目部未按照《危险性较大的分部分项工程安全管理规定》（住建部令第37号）及《北京市房屋建筑和市政基础设施工程危险性较大的分部分项工程安全管理实施细则》（京建法〔2019〕11号）落实危大工程安全管理要求，违反了《建筑施工企业安全生产许可证管理规定》第四条第（十）项的规定。中交第三公路工程局有限公司上述行为属于不再具备安全生产条件的行为。,《建筑施工企业安全生产许可证管理规定》第二十三条和《北京市住房城乡建设系统行政处罚裁量基准》基准编号C1635600A020,暂扣许可证件,给予中交第三公路工程局有限公司暂扣安全生产许可证60日,2023-05-19,2025-05-19,北京市住房和城乡建设委员会
185,北京泓冠房地产经纪有限公司,京建法罚（市）字[2023]第010118号,《北京市住房租赁条例》第六十七条第(五）项和《北京市住房城乡建设系统行政处罚裁量基准》C1671000B010,你于2022年11月16日与出租人曾波签订了关于东城区文书巷10号房屋的《房屋出租委托协议》，并同时编制了东城区文书巷10号房屋的《房屋状况说明书》，但是，你单位编制的《房屋状况说明书》中，缺少租赁期限，押金、佣金，物业服务、水、电、热、燃气等费用标准以及分担原则等内容，未按照规定编制房屋状况说明书。北京市住房和城乡建设委员会针对你单位的上述行为，于2023年03月13日向你单位下达了京建法改（市）字[2023]第010082号的责令改正通知书，要求你单位于2023年03月16日前改正该行为。你单位在规定时间内改正了该行为，并于2023年03月15日提交了整改报告，经北京市住房和城乡建设委员会执法人员于2023年03月16日复核整改情况，你单位在规定期限内改正了该行为，复核合格。你单位的该行为属于未按规定编制房屋状况说明书，违法情节一般。,《北京市住房租赁条例》第六十七条第(五）项和《北京市住房城乡建设系统行政处罚裁量基准》C1671000B010,罚款,处12500元罚款,2023-05-19,2023-11-19,北京市住房和城乡建设委员会
