序号,企业名称,申请事项,业务流水号,,,,,,,,,,,,,,,,,
84,中思智创(北京)工程技术管理有限公司,(区)建筑业企业首次申请资质,0014190126000116,,,,,,,,,,,,,,,,,
85,中交宏大(北京)建设工程有限公司,(市)建筑业企业首次申请资质,0014180627002551,,,,,,,,,,,,,,,,,
86,北京市顺义力源供用电工程安装有限公司,建筑业企业增项资质申请,0014190329002393,,,,,,,,,,,,,,,,,
87,北京昌立建筑工程有限公司,(区)建筑业企业首次申请资质,0014190122004688,,,,,,,,,,,,,,,,,
88,北京禹舜建筑劳务有限公司,建筑业企业首次申请资质,0014190506005258,,,,,,,,,,,,,,,,,
89,北京奥图建设工程有限公司,(区)建筑业企业首次申请资质,0014190902002727,,,,,,,,,,,,,,,,,
90,北京郑庄红方建筑工程有限公司,(市)建筑业企业首次申请资质,0014181212003890,,,,,,,,,,,,,,,,,
91,北京荥建建筑劳务有限公司,建筑业企业首次申请资质,0014190730004661,,,,,,,,,,,,,,,,,
92,北京天马恒通建筑工程有限公司,(市)建筑业企业首次申请资质,0014190520005478,,,,,,,,,,,,,,,,,
93,北京磐石创新建筑有限公司,建筑业企业首次申请资质,0014190507002975,,,,,,,,,,,,,,,,,
94,北京京供华谊电力工程有限公司,建筑业企业增项资质申请,0014190222003060,,,,,,,,,,,,,,,,,
95,北京至成装饰工程有限公司,(区)建筑业企业首次申请资质,0014180522007864,,,,,,,,,,,,,,,,,
96,北京富邦兴业石化科技有限公司,建筑业企业首次申请资质,0014180424001971,,,,,,,,,,,,,,,,,
97,北京新华高科新能源技术有限公司,建筑业企业首次申请资质,0014181228000546,,,,,,,,,,,,,,,,,
98,北京中电方恒电力工程有限公司,(区)建筑业企业首次申请资质,0014180906002731,,,,,,,,,,,,,,,,,
99,北京博瑞环境工程有限公司,建筑业企业首次申请资质,0014190726004543,,,,,,,,,,,,,,,,,
100,北京仲泰建筑集团有限公司,(市)建筑业企业首次申请资质,0014190610003342,,,,,,,,,,,,,,,,,
101,北京九戍智能系统工程有限公司,(区)建筑业企业首次申请资质,0014190508003607,,,,,,,,,,,,,,,,,
102,北京万润安达建筑工程有限公司,(区)建筑业企业首次申请资质,0014180821003277,,,,,,,,,,,,,,,,,
103,北京苏邦建设发展有限公司,(市)建筑业企业首次申请资质,0014190115002105,,,,,,,,,,,,,,,,,
104,北京虹信万达科技有限公司,(区)建筑业企业首次申请资质,0014190715007498,,,,,,,,,,,,,,,,,
105,北京密水兴旺建筑工程有限公司,(区)建筑业企业首次申请资质,0014181016001799,,,,,,,,,,,,,,,,,
106,领创未来(北京)建设有限公司,(区)建筑业企业首次申请资质,0014190120000200,,,,,,,,,,,,,,,,,
107,北京西管安通检测服务有限责任公司,建筑业企业首次申请资质,0014180527000097,,,,,,,,,,,,,,,,,
108,北京天狼大地国际工程有限公司,(区)建筑业企业首次申请资质,0014190808005118,,,,,,,,,,,,,,,,,
109,北京东方立业建筑工程有限公司,建筑业企业升级资质申请,0014190704002132,,,,,,,,,,,,,,,,,
110,芃汇(北京)科技发展有限公司,建筑业企业首次申请资质,0014190819001958,,,,,,,,,,,,,,,,,
111,中堪华顺(北京)建设工程有限公司,(区)建筑业企业增项资质申请,0014181219001031,,,,,,,,,,,,,,,,,
112,迈锐数据(北京)有限公司,建筑业企业首次申请资质,0014190603001410,,,,,,,,,,,,,,,,,
113,北京金元建筑装饰工程有限公司,建筑业企业增项资质申请,0014180813001210,,,,,,,,,,,,,,,,,
114,北京众托装饰工程有限公司,(区)建筑业企业增项资质申请,0014190514007305,,,,,,,,,,,,,,,,,
115,北京新兴保信建设工程有限公司,(市)建筑业企业增项资质申请,0014181207002860,,,,,,,,,,,,,,,,,
116,中鑫瑞达(北京)建设有限公司,(区)建筑业企业首次申请资质,0014180628001898,,,,,,,,,,,,,,,,,
117,北京北燃环能科技发展有限公司,建筑业企业首次申请资质,0014180816000234,,,,,,,,,,,,,,,,,
118,北京昌盛伟业装饰工程有限公司,(区)建筑业企业增项资质申请,0014190830001535,,,,,,,,,,,,,,,,,
119,北京君铭时代节能环保集团有限公司,建筑业企业首次申请资质,0014190301004845,,,,,,,,,,,,,,,,,
120,北京约顿气膜建筑技术股份有限公司,建筑业企业首次申请资质,0014190412002981,,,,,,,,,,,,,,,,,
121,中交宏大(北京)建设工程有限公司,(市)建筑业企业首次申请资质,0014180627002551,,,,,,,,,,,,,,,,,
122,北京华夏浩宇建设工程有限公司,(市)建筑业企业首次申请资质,0014190222001901,,,,,,,,,,,,,,,,,
123,北京新景梦装饰工程有限公司,(区)建筑业企业首次申请资质,0014180817000279,,,,,,,,,,,,,,,,,
124,北京兴盛达建设有限公司,(区)建筑业企业首次申请资质,0014180516001287,,,,,,,,,,,,,,,,,
125,北京凯凯通达科贸发展有限公司,(市)建筑业企业增项资质申请,0014180608003483,,,,,,,,,,,,,,,,,
126,北京道融丰电力安装有限公司,建筑业企业增项资质申请,0014190416004101,,,,,,,,,,,,,,,,,
127,恒邦(北京)工程顾问有限公司,工程造价咨询企业延续资质,0014180808002204,,,,,,,,,,,,,,,,,
128,北京山禾源环境科技有限公司,建筑业企业首次申请资质,0014180725002932,,,,,,,,,,,,,,,,,
129,北京中奥圣辉建筑工程有限公司,(区)建筑业企业首次申请资质,0014190703006528,,,,,,,,,,,,,,,,,
130,北京蓝玥新生建设工程有限公司,(市)建筑业企业首次申请资质,0014190820000465,,,,,,,,,,,,,,,,,
131,北京中智润邦科技有限公司,建筑业企业资质增项资质申请,0014180601003093,,,,,,,,,,,,,,,,,
132,北京约顿气膜建筑技术股份有限公司,建筑业企业首次申请资质,0014181219001884,,,,,,,,,,,,,,,,,
133,北京春辉鸿盛建设工程有限公司,建筑业企业首次申请资质,0014190603001397,,,,,,,,,,,,,,,,,
134,北京顺威达装饰装修工程有限公司,建筑业企业首次申请资质,0014181212003205,,,,,,,,,,,,,,,,,
135,北京中泰宏盛建设工程有限公司,(市)建筑业企业首次申请资质,0014180706000164,,,,,,,,,,,,,,,,,
136,北京天泽汇丰建筑工程有限公司,(区)建筑业企业增项资质申请,0014190618002631,,,,,,,,,,,,,,,,,
137,北京公科固桥技术有限公司,建筑业企业增项资质申请,0014180727000774,,,,,,,,,,,,,,,,,
138,北京卓晟起重搬运有限公司,建筑业企业首次申请资质,0014180817002079,,,,,,,,,,,,,,,,,
139,北京景红鑫耀建设工程有限责任公司,建筑业企业首次申请资质,0014180707000042,,,,,,,,,,,,,,,,,
140,北京大洋伟业市政工程有限公司,(市)建筑业企业资质增项资质申请,0014180315000856,,,,,,,,,,,,,,,,,
141,北京浩华电气设备安装工程有限公司,建筑业企业资质增项资质申请,0014170330000212,,,,,,,,,,,,,,,,,
142,北京利丹装饰工程有限公司,(市)建筑业企业首次申请资质,0014180816002775,,,,,,,,,,,,,,,,,
143,北京化科工程管理有限公司,工程监理企业延续资质申请，工程监理企业技术负责人变更合并办理,0014190612006572,,,,,,,,,,,,,,,,,
144,北京升运建筑工程有限公司,(市)建筑业企业首次申请资质,0014180630000249,,,,,,,,,,,,,,,,,
145,北京金裕梧桐建筑工程劳务有限公司,(区)建筑业企业首次申请资质,0014190314003736,,,,,,,,,,,,,,,,,
146,北京永晟振斌建设工程有限公司,(市)建筑业企业首次申请资质,0014181211005082,,,,,,,,,,,,,,,,,
147,北京中泰盈盛建筑有限公司,建筑业企业首次申请资质,0014190715003517,,,,,,,,,,,,,,,,,
148,北京博望华科科技有限公司,工程监理企业申请新设立资质（包含工程监理企业申请事务所资质）,0014190308001490,,,,,,,,,,,,,,,,,
149,北京振鸿建设工程有限公司,(市)建筑业企业首次申请资质,0014190417004102,,,,,,,,,,,,,,,,,
150,中嘉诚建筑工程(北京)有限公司,(区)建筑业企业首次申请资质,0014181220002315,,,,,,,,,,,,,,,,,
151,北京亚泰古建筑设计研究院,(区)建筑业企业首次申请资质,0014181217005347,,,,,,,,,,,,,,,,,
152,北京华谊新创建筑工程有限公司,建筑业企业首次申请资质,0014190626003013,,,,,,,,,,,,,,,,,
153,北京同弘进工程咨询有限公司,工程造价咨询企业延续资质,0014190121002337,,,,,,,,,,,,,,,,,
154,北京建标诚和工程咨询有限公司,工程造价咨询企业延续资质，工程造价咨询企业资质证书法定代表人变更，工程造价咨询企业资质证书技术负责人变更合并办理,0014190319003472,,,,,,,,,,,,,,,,,
155,北京安氏基业建筑装饰工程有限公司,(市)建筑业企业首次申请资质,0014190225003355,,,,,,,,,,,,,,,,,
156,北京益康工程咨询有限公司,工程监理单位新设立资质申请,0014180612003152,,,,,,,,,,,,,,,,,
157,东方圣和(北京)智能建设有限公司,(市)建筑业企业首次申请资质,0014190221000561,,,,,,,,,,,,,,,,,
158,北京金河水务建设集团有限公司,建筑业企业升级资质申请,0014180725002213,,,,,,,,,,,,,,,,,
159,北京浩宏兴达建筑工程有限公司,建筑业企业首次申请资质,0014190718001035,,,,,,,,,,,,,,,,,
