大学生创业企业信息,,,,,,,,,,,,,,,,,,,,,,,,,
序号,上板时间,公司全称,四板展示代码,,,,,,,,,,,,,,,,,,,,,,
95,2019/2/12,亚植素（北京）科技有限公司,300095,,,,,,,,,,,,,,,,,,,,,,
96,2019/3/4,北京德聚猎人科技有限公司,300096,,,,,,,,,,,,,,,,,,,,,,
97,2019/3/4,北京及时互动科技有限公司,300097,,,,,,,,,,,,,,,,,,,,,,
98,2019/3/13,北京华宁全视科技有限公司,300098,,,,,,,,,,,,,,,,,,,,,,
99,2019/3/18,无限向量（北京）科技有限公司,300099,,,,,,,,,,,,,,,,,,,,,,
100,2019/4/19,北京天瑞派明文化传媒股份有限公司,300100,,,,,,,,,,,,,,,,,,,,,,
101,2019/4/29,北京蜗牛信息科技有限公司,300101,,,,,,,,,,,,,,,,,,,,,,
102,2019/5/24,六禾（北京）餐饮管理有限责任公司,300102,,,,,,,,,,,,,,,,,,,,,,
103,2019/5/24,博普乐科技（北京）有限公司,300103,,,,,,,,,,,,,,,,,,,,,,
104,2019/6/20,北京中视意林文化传媒有限公司,300104,,,,,,,,,,,,,,,,,,,,,,
105,2019/6/27,北京乐享岐云科技有限公司,300105,,,,,,,,,,,,,,,,,,,,,,
106,2019/7/10,北京奥瑞安能源技术开发有限公司,300106,,,,,,,,,,,,,,,,,,,,,,
107,2019/7/22,北京华龛生物科技有限公司,300107,,,,,,,,,,,,,,,,,,,,,,
108,2019/7/22,北京材华科技有限公司,300108,,,,,,,,,,,,,,,,,,,,,,
109,2019/8/20,北京朔方天城智能科技有限公司,300109,,,,,,,,,,,,,,,,,,,,,,
110,2019/8/20,中矿定位（北京）技术有限责任公司,300110,,,,,,,,,,,,,,,,,,,,,,
111,2019/8/29,奥本未来（北京）科技有限责任公司,300111,,,,,,,,,,,,,,,,,,,,,,
112,2019/8/29,北京光辉天成医疗科技有限公司,300112,,,,,,,,,,,,,,,,,,,,,,
113,2019/9/29,北京衣话服饰有限公司,300113,,,,,,,,,,,,,,,,,,,,,,
114,2019/11/19,北京东博牙科手机有限公司,300114,,,,,,,,,,,,,,,,,,,,,,
115,2019/11/19,北京洋葱哥哥体育文化有限公司,300115,,,,,,,,,,,,,,,,,,,,,,
116,2019/11/27,小鲲科技（北京）有限公司,300116,,,,,,,,,,,,,,,,,,,,,,
117,2019/12/13,北京本心堂艺术剧院有限公司,300117,,,,,,,,,,,,,,,,,,,,,,
118,2020/1/10,北京微元动力机器人科技有限责任公司,300118,,,,,,,,,,,,,,,,,,,,,,
119,2020/3/23,北京赛伯空间科技有限公司,300119,,,,,,,,,,,,,,,,,,,,,,
120,2020/3/23,北京道可道也信息科技有限公司,300120,,,,,,,,,,,,,,,,,,,,,,
121,2020/7/24,北京开拓潮人教育科技有限公司,300121,,,,,,,,,,,,,,,,,,,,,,
122,2020/7/24,北京一见钟鱼科技有限公司,300122,,,,,,,,,,,,,,,,,,,,,,
123,2020/9/3,北京西席文化咨询有限责任公司,300123,,,,,,,,,,,,,,,,,,,,,,
124,2020/9/3,北京税来税往科技有限公司,300124,,,,,,,,,,,,,,,,,,,,,,
125,2020/9/3,荒古（文化）文化发展有限公司,300125,,,,,,,,,,,,,,,,,,,,,,
126,2020/9/3,北京凯越欣体育俱乐部有限公司,300126,,,,,,,,,,,,,,,,,,,,,,
127,2020/9/24,北京利见达人传媒有限公司,300127,,,,,,,,,,,,,,,,,,,,,,
128,2020/9/24,北京老栗树聚源德农业科技发展有限公司,300128,,,,,,,,,,,,,,,,,,,,,,
129,2020/9/24,格米数联科技（北京）有限公司,300129,,,,,,,,,,,,,,,,,,,,,,
130,2020/9/24,中科搏锐（北京）科技有限公司,300130,,,,,,,,,,,,,,,,,,,,,,
131,2020/9/24,北京未磁科技有限公司,300131,,,,,,,,,,,,,,,,,,,,,,
132,2020/9/24,北京炎黄国芯科技有限公司,300132,,,,,,,,,,,,,,,,,,,,,,
133,2020/9/24,中路交建（北京）工程材料技术有限公司,300133,,,,,,,,,,,,,,,,,,,,,,
134,2020/9/24,北京尚德智汇科技有限公司,300134,,,,,,,,,,,,,,,,,,,,,,
135,2020/9/30,中科谱遥科技（北京）有限公司,300135,,,,,,,,,,,,,,,,,,,,,,
136,2020/10/13,北京平天下科技有限公司,300136,,,,,,,,,,,,,,,,,,,,,,
137,2020/10/22,北京昆迈医疗科技有限公司,300137,,,,,,,,,,,,,,,,,,,,,,
