业户名称,评定等级,所属区域,年度,统一社会信用代码
北京华宇汽车租赁有限公司,A,,2024,91110304592382929L
北京浩驰汽车服务有限公司,A,,2024,91110304746747565A
北京凯撒国际旅行社有限责任公司,A,东城,2023,91110101710926051X
北京君豪汽车服务有限公司,B,,2023,911101056900384197
红遍国际旅行社（北京）有限公司,A,顺义,2023,91110113MA01N9Y714
北京鸿途汽车服务有限公司,A,昌平,2023,91110114MA01Y66G9L
北京四海同心客运有限公司,A,怀柔,2023,91110116662181672X
北京市慕田峪汽车运输有限公司,A,怀柔,2023,91110116741571935P
北京万泉寺出租汽车有限公司,A,丰台运输管理分局,2022,911100001021361014
北京寰宇纵横旅行社有限公司,A,东城运输管理分局,2022,9111010110133662XU
北京凯撒国际旅行社有限责任公司,A,东城运输管理分局,2022,91110101710926051X
北京大地国际旅行社有限公司,A,丰台运输管理分局,2022,911101066337065216
北京丝路彩虹汽车租赁集团有限公司,B,,2022,91110228599608556U
北京新朗途客运有限公司,AAA,怀柔,2019,911101163442437869
北京市天坛出租汽车有限责任公司,___,东城,2019,911101011015081619
北京天马旅游汽车有限公司,AAA,东城,2019,9111010110129647XH
北京四合汽车服务公司,AAA,昌平,2019,91110114102627680G
北京天马旅行社有限公司,A,,2024,9111010210171503XW
北京民航安乐出租汽车有限责任公司,A,,2024,91110105633712737H
北京市西之星客运有限公司,A,,2024,91110107062800417K
北京市晟铭旅游客运服务有限公司,A,,2024,91110111061288028U
红遍国际旅行社（北京）有限公司,A,,2024,91110113MA01N9Y714
北京九龙旅游客运有限公司,A,,2024,91110114752177642T
北京同创旅游客运服务有限公司,B,,2024,91110114MA01M8RB1B
北京福地青云国际旅行社有限公司,A,,2024,91110115599699320P
北京空港兴航达客运有限公司,A,,2024,91110115MA01ED413C
北京风雅创捷旅游汽车客运服务有限公司,A,朝阳,2023,91110105553135642U
全跃达（北京）校车运营管理有限公司,B,,2023,91110105MA007PBL5X
北京海淀颐海出租汽车有限责任公司,A,海淀,2023,91110108101907103H
北京天路客运有限公司,B,,2023,91110114400927454U
北京市兴顺达客运有限责任公司,A,大兴,2023,911101157003500877
北京中兴盛达汽车服务有限公司,B,,2023,91110115MA7ETQH18Y
北京青年旅行社股份有限公司,A,朝阳运输管理分局,2022,91110000101200159U
北京新月联合汽车有限公司,A,西城运输管理分局,2022,91110000633699990X
北京城乡旅游汽车出租有限责任公司,A,朝阳运输管理分局,2022,9111010563369142XP
中信联合汽车（北京）有限公司,A,朝阳运输管理分局,2022,91110105742344582E
北京首钢园区综合服务有限公司,B,石景山运输管理分局,2022,91110107071737042K
北京申威狮星新能源汽车有限公司,A,海淀运输管理分局,2022,91110108MA01YKDM0X
北京市晟铭旅游客运服务有限公司,A,房山交通局,2022,91110111061288028U
北京市兴顺达客运有限责任公司,A,大兴交通局,2022,911101157003500877
北京鑫聚隆源客运有限公司,A,怀柔交通局,2022,91110116344286073U
北京广通驰安客运有限公司,A,密云交通局,2022,91110118MA02141J7H
北京虹桥旅行社有限公司,___,丰台,2019,91110108600409926E
北京国康旅行社,___,东城,2019,911101017351154237
中旅旅游汽车有限公司,AAA,朝阳,2019,91110105101129049G
新国线运输集团有限公司,A,,2024,91110000726340629X
北京怡晟达旅游客运有限公司,B,,2024,91110102MACQ03JW3X
北京运宏达旅游客运有限公司,B,,2024,91110102MACXHYGD2K
北京京铁欣途出租汽车有限公司,A,,2024,91110106101246157U
北京大地国际旅行社有限公司,A,,2024,911101066337065216
北京一证通测试有限二公司,B,,2024,91110115WNRW1W8CG7
北京铭宇佳业客运有限公司,A,,2024,91110116057388982G
北京明龙祥商务服务有限公司,A,,2024,91110116MA02155XX2
北京华瑞商务服务有限公司,B,,2024,91110229MA01WBAM6Q
北京渔阳出租汽车集团有限公司,A,平谷,2023,911100001029182777
北京城乡旅游汽车出租有限责任公司,A,朝阳,2023,9111010563369142XP
北京民航安乐出租汽车有限责任公司,A,朝阳,2023,91110105633712737H
交通国际旅行社有限公司,A,朝阳,2023,91110105710925876F
北京天马通驰新能源汽车服务有限公司,B,,2023,91110105MABTA7U831
北京市西之星客运有限公司,B,,2023,91110107062800417K
北京龙海恒安旅游客运有限公司,B,,2023,911101086819573848
北京市顺风旅游有限公司,A,通州,2023,91110112102452251T
北京天寿山出租汽车有限责任公司,A,昌平,2023,91110114700341690M
北京铭宇佳业客运有限公司,A,怀柔,2023,91110116057388982G
中国职工国际旅行社总社,A,朝阳运输管理分局,2022,91110000100004367K
北京石化出租汽车有限公司,B,东城运输管理分局,2022,9111010110169323XN
中旅商务旅行服务有限公司,A,朝阳运输管理分局,2022,911101057109262627
北京九龙祥和客运有限公司,A,房山交通局,2022,9111011168510707XB
北京首汽（集团）股份有限公司,AAA,东城,2019,91110000101166202X
北京风雅创捷旅游汽车客运服务有限公司,AAA,朝阳,2019,91110105553135642U
