企业或单位名称,纳税人识别号,经营地点,欠税金额,税种
北京飞科盛鑫广告有限公司,110107306559720,北京市石景山区古城大街75号院2号楼8层3单元804,6430.630,教育费附加
北京恒嘉盛辉商贸有限公司,110107318035094,北京市石景山区古城西路113号景山财富中心金融商业楼241,9972.480,城建税
北京恒嘉盛辉商贸有限公司,110107318035094,北京市石景山区古城西路113号景山财富中心金融商业楼241,7123.200,教育费附加
北京华鑫盛商贸有限公司,110107318035254,北京市石景山区古城西路113号景山财富中心金融商业楼403室,9842.660,城建税
北京华鑫盛商贸有限公司,110107318035254,北京市石景山区古城西路113号景山财富中心金融商业楼403室,7030.470,教育费附加
北京金柏格秀商贸有限公司,110107317969485,北京市石景山区古城西路113号景山财富中心金融商业楼757室,9062.990,城建税
北京金柏格秀商贸有限公司,110107317969485,北京市石景山区古城西路113号景山财富中心金融商业楼757室,6473.570,教育费附加
北京凯利盛商贸有限公司,110107318035094,北京市石景山区古城西路113号景山财富中心金融商业楼205室,9310.410,城建税
北京凯利盛商贸有限公司,110107318035094,北京市石景山区古城西路113号景山财富中心金融商业楼205室,6650.300,教育费附加
北京昆腾弘达商贸有限公司,11010731804939X,北京市石景山区古城西路113号景山财富中心金融商业楼649室,9388.600,城建税
北京昆腾弘达商贸有限公司,11010731804939X,北京市石景山区古城西路113号景山财富中心金融商业楼649室,6706.140,教育费附加
北京庆盛仁信息咨询有限公司,110107306383219,北京市石景山区古城大街75号院2号楼5层3单元503,8800.440,城建税
北京庆盛仁信息咨询有限公司,110107306383219,北京市石景山区古城大街75号院2号楼5层3单元503,6286.030,教育费附加
北京顺天齐商贸有限公司,110107318008555,北京市石景山区古城西路113号景山财富中心金融商业楼221室,9506.120,城建税
北京顺天齐商贸有限公司,110107318008555,北京市石景山区古城西路113号景山财富中心金融商业楼221室,6790.080,教育费附加
北京益元康盛商贸有限公司,110107318008707,北京市石景山区古城西路113号景山财富中心金融商业楼450室,10092.660,城建税
北京益元康盛商贸有限公司,110107318008707,北京市石景山区古城西路113号景山财富中心金融商业楼450室,7209.050,教育费附加
北京齐鲁伟业装饰有限公司,110107563645777,北京市石景山区八大处高科技园区西井路3号3号楼6422房间,29700.000,营业税
北京齐鲁伟业装饰有限公司,110107563645777,北京市石景山区八大处高科技园区西井路3号3号楼6422房间,1485.000,教育费附加
北京齐鲁伟业装饰有限公司,110107563645777,北京市石景山区八大处高科技园区西井路3号3号楼6422房间,2079.000,城建税
北京百家优盛商贸有限公司,110107317969610,北京市石景山区古城西路113号景山财富中心金融商业楼648室,9857.610,城建税
北京百家优盛商贸有限公司,110107317969610,北京市石景山区古城西路113号景山财富中心金融商业楼648室,7041.150,教育费附加
