标称生产者信息,被抽样单位信息,产品信息,检验结果,主键,更新时间
北大荒食品集团北京食品有限公司,北大荒食品集团北京食品有限公司,大米,完全合格,110114-2023-1-002053,2/11/2023 22:01:00
北京展览馆集团有限公司莫斯科食品厂,北京展览馆集团有限公司莫斯科食品厂,糕点,完全合格,110115-2022-1-000701,26/10/2023 10:00:00
北京市雄飞百年食品厂,北京市雄飞百年食品厂,速冻面米食品,完全合格,110115-2022-1-000736,26/10/2023 10:00:00
北京市雄飞百年食品厂,北京市雄飞百年食品厂,速冻面米食品,完全合格,110115-2022-1-000738,26/10/2023 10:00:00
北京皇家京都酒业有限公司,北京皇家京都酒业有限公司,"白酒,其他酒",完全合格,110115-2022-1-000844,26/10/2023 10:00:00
北京汇瑞才生物科技有限公司,北京汇瑞才生物科技有限公司,复配食品添加剂,完全合格,110115-2022-1-001015,26/10/2023 10:00:00
北京义利面包食品有限公司生产基地,北京义利面包食品有限公司生产基地,"冷加工糕点,其他食品,热加工糕点",完全合格,110115-2022-1-001113,26/10/2023 10:00:00
北京市裕农优质农产品种植有限公司大兴分公司,北京市裕农优质农产品种植有限公司大兴分公司,"调味料,其他食品",完全合格,110115-2023-1-000025,26/10/2023 10:00:00
温育银芽（北京）蔬菜加工有限责任公司,温育银芽（北京）蔬菜加工有限责任公司,其他食品,完全合格,110115-2023-1-000033,26/10/2023 10:00:00
北京金凤成祥商贸有限公司,北京金凤成祥商贸有限公司,"饼干,冷加工糕点,热加工糕点,速冻面米食品",完全合格,110115-2023-1-000061,26/10/2023 10:00:00
温育银芽（北京）蔬菜加工有限责任公司,温育银芽（北京）蔬菜加工有限责任公司,其他食品,完全合格,110115-2023-1-000093,26/10/2023 10:00:00
