标称生产者信息,被抽样单位信息,产品信息,检验结果,主键,更新时间
北京市味尚食品有限公司,北京市味尚食品有限公司,其他粮食加工品,完全合格,110113-2023-1-001514,26/10/2023 10:00:00
北京天赐园食品有限责任公司,北京天赐园食品有限责任公司,"蜂产品制品,蜂蜜,果蔬汁类及其饮料,水果制品",完全合格,110113-2023-1-001527,26/10/2023 10:00:00
北京燕京啤酒股份有限公司,北京燕京啤酒股份有限公司,啤酒,完全合格,110113-2023-1-001562,26/10/2023 10:00:00
北京空港配餐有限公司,北京空港配餐有限公司,"调味料,冷加工糕点,其他食品,其他食品,热加工糕点,速冻面米食品",完全合格,110113-2023-1-001575,26/10/2023 10:00:00
北京航空食品有限公司,北京航空食品有限公司,"冷加工糕点,热加工糕点",完全合格,110113-2023-1-001579,26/10/2023 10:00:00
北京进军世间美食有限责任公司,北京进军世间美食有限责任公司,"调味料,其他食品,速冻调制食品,速冻面米食品,畜禽水产罐头,预制调理肉制品",本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110113-2023-1-001685,26/10/2023 10:00:00
北京可林娜水业有限公司,北京可林娜水业有限公司,瓶(桶)装饮用水,完全合格,110113-2023-1-002482,16/11/2023 22:00:11
北京瀛厚德食品有限责任公司,北京瀛厚德食品有限责任公司,"炒货食品及坚果制品,冷加工糕点,蜜饯,热加工糕点,热加工熟肉制品",完全合格,110114-2022-1-000553,26/10/2023 10:00:00
北京新淳味美食品厂,北京新淳味美食品厂,"淀粉及淀粉制品,调味料,干制水产品,食用菌制品,蔬菜干制品,水果制品,糖",完全合格,110114-2022-1-000756,26/10/2023 10:00:00
北大荒食品集团北京食品有限公司,北大荒食品集团北京食品有限公司,大米,"本次检查发现不符合项（4）项，其中：重点项（0）项，项目序号分别是（）；一般项（4）项，项目序号分别是（2.5,4.12,4.9,6.5）。",110114-2022-1-001038,26/10/2023 10:00:00
北京宏海缘食品科技有限公司,北京宏海缘食品科技有限公司,"冷加工糕点,热加工糕点",完全合格,110114-2022-1-001241,26/10/2023 10:00:00
北京宏海缘食品科技有限公司,北京宏海缘食品科技有限公司,"冷加工糕点,热加工糕点",完全合格,110114-2022-1-001245,26/10/2023 10:00:00
嘉吉亚太食品系统（北京）有限公司,嘉吉亚太食品系统（北京）有限公司,"调味料,复配食品添加剂,其他食品,食品添加剂",完全合格,110114-2023-1-000822,26/10/2023 10:00:00
北京三元食品股份有限公司乳品四厂,北京三元食品股份有限公司乳品四厂,其他乳制品,完全合格,110114-2023-1-000836,26/10/2023 10:00:00
北京金篮子食品有限公司,北京金篮子食品有限公司,热加工熟肉制品,完全合格,110114-2023-1-000837,26/10/2023 10:00:00
北京康比特体育科技股份有限公司,北京康比特体育科技股份有限公司,"炒货食品及坚果制品,代可可脂巧克力及代可可脂巧克力制品,粉剂,固体饮料,固体饮料,冷加工糕点,片剂,片剂,其他方便食品,其他方便食品,其他特殊膳食食品,其他特殊膳食食品,巧克力及巧克力制品,糖果,糖果,硬胶囊剂,硬胶囊剂",完全合格,110114-2023-1-000840,26/10/2023 10:00:00
北京新淳味美食品厂,北京新淳味美食品厂,"淀粉及淀粉制品,调味料,干制水产品,食用菌制品,蔬菜干制品,水果制品,糖",完全合格,110114-2023-1-000868,26/10/2023 10:00:00
北京康比特体育科技股份有限公司,北京康比特体育科技股份有限公司,"炒货食品及坚果制品,代可可脂巧克力及代可可脂巧克力制品,粉剂,固体饮料,固体饮料,冷加工糕点,片剂,片剂,其他方便食品,其他方便食品,其他特殊膳食食品,其他特殊膳食食品,巧克力及巧克力制品,糖果,糖果,硬胶囊剂,硬胶囊剂",完全合格,110114-2023-1-001611,26/10/2023 10:00:00
北京新淳味美食品厂,北京新淳味美食品厂,"淀粉及淀粉制品,调味料,干制水产品,食用菌制品,蔬菜干制品,水果制品,糖",完全合格,110114-2023-1-001783,26/10/2023 10:00:00
北京顺风飞扬物流中心,北京顺风飞扬物流中心,"其他粮食加工品,热加工糕点,热加工熟肉制品",完全合格,110111-2022-1-001149,26/10/2023 10:00:00
北京仙儿沟水厂,北京仙儿沟水厂,瓶(桶)装饮用水,完全合格,110111-2022-1-001162,26/10/2023 10:00:00
北京中畅佳禾农副产品加工有限公司,北京中畅佳禾农副产品加工有限公司,"炒货食品及坚果制品,大米,其他粮食加工品,食用菌制品,水果制品",完全合格,110111-2023-1-000076,26/10/2023 10:00:00
北京佳欣源食品有限公司,北京佳欣源食品有限公司,"冷加工糕点,热加工糕点",完全合格,110111-2023-1-000381,26/10/2023 10:00:00
北京卢沟桥酒厂,北京卢沟桥酒厂,白酒,完全合格,110111-2023-1-000783,26/10/2023 10:00:00
北京香家食品有限公司,北京香家食品有限公司,热加工熟肉制品,本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110111-2023-1-000787,26/10/2023 10:00:00
北京卢沟桥酒厂一厂,北京卢沟桥酒厂一厂,其他酒,本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110111-2023-1-000799,26/10/2023 10:00:00
北京御生堂保健食品有限公司,北京御生堂保健食品有限公司,"茶剂,茶剂,代用茶,固体饮料,口服液,片剂,糖果",完全合格,110111-2023-1-000883,26/10/2023 10:00:00
北京蜂珍科技开发有限公司房山分公司,北京蜂珍科技开发有限公司房山分公司,"蜂产品制品,蜂花粉,蜂蜜,蜂王浆(含蜂王浆冻干品)",完全合格,110111-2023-1-000888,26/10/2023 10:00:00
北京利民恒华农业科技有限公司,北京利民恒华农业科技有限公司,"淀粉及淀粉制品,调味料,豆制品",完全合格,110111-2023-1-000983,26/10/2023 10:00:00
北京田园盛态食品贸易有限公司房山分公司,北京田园盛态食品贸易有限公司房山分公司,"饼干,炒货食品及坚果制品,冷加工糕点,蜜饯,其他粮食加工品,热加工糕点,水果制品",完全合格,110111-2023-1-001022,26/10/2023 10:00:00
北京天蜂奇科技开发有限公司,北京天蜂奇科技开发有限公司,"蜂花粉,蜂蜜,蜂王浆(含蜂王浆冻干品)",完全合格,110111-2023-1-001338,26/10/2023 10:00:00
北京普特莱斯水务科技发展有限公司,北京普特莱斯水务科技发展有限公司,包装饮用水,完全合格,110111-2023-1-001360,26/10/2023 10:00:00
北京天意通工贸有限公司,北京天意通工贸有限公司,"蜜饯,水果制品",完全合格,110111-2023-1-001362,26/10/2023 10:00:00
北京市中瑞美特食品有限公司,北京市中瑞美特食品有限公司,"炒货食品及坚果制品,大米,蜜饯,其他粮食加工品,食用菌制品,蔬菜干制品,水果制品",完全合格,110111-2023-1-001397,26/10/2023 10:00:00
北京澳特舒尔保健品开发有限公司,北京澳特舒尔保健品开发有限公司,"茶剂,茶剂,茶剂,茶剂,茶剂,代用茶,调味茶,颗粒剂,颗粒剂",完全合格,110111-2023-1-001419,26/10/2023 10:00:00
北京宏味源食品有限公司,北京宏味源食品有限公司,"蛋制品,调味料,热加工熟肉制品",完全合格,110111-2023-1-001734,26/10/2023 10:00:00
北京卓宸畜牧有限公司,北京卓宸畜牧有限公司,预制调理肉制品,完全合格,110111-2023-1-002047,2/11/2023 22:00:39
北京仙儿沟水厂,北京仙儿沟水厂,瓶(桶)装饮用水,完全合格,110111-2023-1-002051,2/11/2023 22:00:51
北京仙儿沟水厂,北京仙儿沟水厂,瓶(桶)装饮用水,完全合格,110111-2023-1-002069,2/11/2023 22:01:26
北京西谷能元食品有限公司,北京西谷能元食品有限公司,调味料,完全合格,110111-2023-1-002398,14/11/2023 22:01:56
北京香盛斋食品有限公司,北京香盛斋食品有限公司,热加工熟肉制品,完全合格,110111-2023-1-002406,14/11/2023 22:01:59
北京利民恒华农业科技有限公司,北京利民恒华农业科技有限公司,"淀粉及淀粉制品,调味料,豆制品",完全合格,110111-2023-1-002407,14/11/2023 22:01:59
北京臻味坊食品有限公司,北京臻味坊食品有限公司,"炒货食品及坚果制品,大米,蜜饯,其他方便食品,其他粮食加工品,热加工糕点,食用菌制品,食用植物油,蔬菜干制品,水果制品",完全合格,110111-2023-1-002421,14/11/2023 22:02:03
北京蓉山食品有限公司,北京蓉山食品有限公司,"调味料,酱腌菜",完全合格,110111-2023-1-002558,21/11/2023 22:01:20
北京聚源祥德商贸有限公司,北京聚源祥德商贸有限公司,"热加工糕点,热加工熟肉制品,速冻调制食品,速冻面米食品,预制调理肉制品",完全合格,110111-2023-1-002560,21/11/2023 22:01:22
北京中畅佳禾农副产品加工有限公司,北京中畅佳禾农副产品加工有限公司,"炒货食品及坚果制品,大米,其他粮食加工品,食用菌制品,水果制品",完全合格,110111-2023-1-002612,21/11/2023 22:01:36
北京盛聚食品有限公司,北京盛聚食品有限公司,"冷加工糕点,其他食品,热加工糕点,热加工熟肉制品",完全合格,110111-2023-1-002627,21/11/2023 22:01:46
北京蓉山食品有限公司,北京蓉山食品有限公司,"调味料,酱腌菜",完全合格,110111-2023-1-002638,21/11/2023 22:01:53
北京佳年葡萄种植有限公司,北京佳年葡萄种植有限公司,葡萄酒及果酒,完全合格,110111-2023-1-002713,23/11/2023 22:00:51
安吉食品（北京）有限公司,安吉食品（北京）有限公司,"热加工熟肉制品,速冻调制食品,速冻面米食品,预制调理肉制品",完全合格,110111-2023-1-003373,29/12/2023 22:00:04
北京钰汇嘉餐饮管理有限公司,北京钰汇嘉餐饮管理有限公司,调味料,完全合格,110111-2023-1-003401,29/12/2023 22:00:05
北京高平技术开发有限公司,北京高平技术开发有限公司,食品添加剂,完全合格,110111-2023-1-003407,29/12/2023 22:00:05
北京高平技术开发有限公司,北京高平技术开发有限公司,食品添加剂,完全合格,110111-2023-1-003422,29/12/2023 22:00:06
蒙牛乳业（北京）有限责任公司,蒙牛乳业（北京）有限责任公司,"蛋白饮料,液体乳",完全合格,110112-2022-1-000509,26/10/2023 10:00:00
蒙牛乳业（北京）有限责任公司,蒙牛乳业（北京）有限责任公司,"蛋白饮料,液体乳",完全合格,110112-2022-1-000588,26/10/2023 10:00:00
北京特味浓生物技术开发有限公司,北京特味浓生物技术开发有限公司,调味料,完全合格,110112-2022-1-000767,26/10/2023 10:00:00
北京全聚德仿膳食品有限责任公司生产基地,北京全聚德仿膳食品有限责任公司生产基地,"调味料,其他粮食加工品,其他食品,热加工糕点,热加工熟肉制品,速冻调制食品,预制调理肉制品",完全合格,110112-2022-1-000974,22/9/2025 14:03:50
北京二商希杰食品有限责任公司,北京二商希杰食品有限责任公司,"淀粉及淀粉制品,豆制品,其他粮食加工品,其他食品",完全合格,110112-2023-1-000231,26/10/2023 10:00:00
北京方圆平安生物科技股份有限公司,北京方圆平安生物科技股份有限公司,其它食品,本次检查发现不符合项（1）项，其中：重点项（0）项，项目序号分别是（）；一般项（1）项，项目序号分别是（2.6）。,110112-2023-1-001379,26/10/2023 10:00:00
北京二商肉类食品集团有限公司,北京二商肉类食品集团有限公司,"热加工熟肉制品,预制调理肉制品,腌腊肉制品",完全合格,110112-2023-1-002260,10/11/2023 22:04:01
北京全聚德仿膳食品有限责任公司生产基地,北京全聚德仿膳食品有限责任公司生产基地,"调味料,其他粮食加工品,其他食品,热加工糕点,热加工熟肉制品,速冻调制食品,预制调理肉制品",完全合格,110112-2023-1-002301,13/11/2023 22:00:38
北京汇力发食品工业有限责任公司第二销售部,北京汇力发食品工业有限责任公司第二销售部,"冷加工糕点,热加工糕点",完全合格,110101-2022-1-000972,27/8/2025 10:36:28
北京汇力发食品工业有限责任公司第二销售部,北京汇力发食品工业有限责任公司第二销售部,"冷加工糕点,热加工糕点",完全合格,110101-2023-1-001124,26/10/2023 10:00:00
北京中海万悦饮料销售中心,北京中海万悦饮料销售中心,瓶(桶)装饮用水,完全合格,110102-2022-1-000840,26/10/2023 10:00:00
北京呀咪呀咪食品有限公司,北京呀咪呀咪食品有限公司,"其他食品,速冻调制食品,速冻面米食品",完全合格,110105-2022-1-000309,26/10/2023 10:00:00
北京市双益达饮用水有限责任公司,北京市双益达饮用水有限责任公司,瓶(桶)装饮用水,完全合格,110105-2022-1-000823,26/10/2023 10:00:00
北京荷美尔食品有限公司,北京荷美尔食品有限公司,"发酵肉制品,热加工熟肉制品,速冻调制食品,预制调理肉制品,腌腊肉制品",完全合格,110105-2023-1-000674,26/10/2023 10:00:00
北京健生饮料有限公司,北京健生饮料有限公司,液体乳,完全合格,110105-2023-1-000721,26/10/2023 10:00:00
北京上好味食品加工厂,北京上好味食品加工厂,淀粉及淀粉制品,本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110105-2023-1-002883,29/11/2023 22:02:12
宝酒造食品有限公司,宝酒造食品有限公司,"调味料,其他酒",完全合格,110106-2023-1-000968,26/10/2023 10:00:00
北京圣祥乳制品厂,北京圣祥乳制品厂,液体乳,完全合格,110106-2023-1-000971,26/10/2023 10:00:00
北京龙泉峡古水厂,北京龙泉峡古水厂,包装饮用水,完全合格,110108-2022-1-000314,26/10/2023 10:00:00
北京正隆斋全素食品有限公司,北京正隆斋全素食品有限公司,"冷加工糕点,热加工糕点",完全合格,110108-2022-1-000336,26/10/2023 10:00:00
北京德青源农业科技股份有限公司,北京德青源农业科技股份有限公司,蛋制品,完全合格,110108-2022-1-000822,26/10/2023 10:00:00
北京本乡良实面业有限责任公司,北京本乡良实面业有限责任公司,"其他粮食加工品,热加工糕点",完全合格,110109-2023-1-001651,26/10/2023 10:00:00
北京中禾伟业食品有限公司,北京中禾伟业食品有限公司,"热加工糕点,食品馅料",完全合格,110111-2022-1-000043,26/10/2023 10:00:00
北京鸿海茂意食品有限公司,北京鸿海茂意食品有限公司,"焙炒咖啡,冷冻饮品",完全合格,110111-2022-1-000047,26/10/2023 10:00:00
北京天露食品有限公司,北京天露食品有限公司,调味料,完全合格,110111-2022-1-000050,26/10/2023 10:00:00
北京源生号酿酒有限公司,北京源生号酿酒有限公司,其他酒,完全合格,110111-2022-1-000140,26/10/2023 10:00:00
北京大石窝洪源水业有限责任公司,北京大石窝洪源水业有限责任公司,瓶(桶)装饮用水,完全合格,110111-2022-1-000145,26/10/2023 10:00:00
北京诚领农业有限公司,北京诚领农业有限公司,"即食水产品,热加工熟肉制品,速冻调制食品",本次检查发现不符合项（2）项，其中：重点项（1）项，项目序号分别是（*3.1）；一般项（1）项，项目序号分别是（2.1）。,110111-2022-1-000204,26/10/2023 10:00:00
北京嘉雪溪水业有限公司,北京嘉雪溪水业有限公司,瓶(桶)装饮用水,完全合格,110111-2022-1-000208,26/10/2023 10:00:00
北京南河北星农业发展有限公司,北京南河北星农业发展有限公司,其他食品,完全合格,110111-2022-1-000212,26/10/2023 10:00:00
北京科汇大地农业技术发展有限公司,北京科汇大地农业技术发展有限公司,"炒货食品及坚果制品,大米,其他粮食加工品,食用菌制品,水果制品",完全合格,110111-2022-1-000330,26/10/2023 10:00:00
安吉食品（北京）有限公司,安吉食品（北京）有限公司,"热加工熟肉制品,速冻调制食品,速冻面米食品,预制调理肉制品",完全合格,110111-2022-1-000349,26/10/2023 10:00:00
北京恒乐食品有限公司,北京恒乐食品有限公司,预制调理肉制品,完全合格,110111-2022-1-000358,26/10/2023 10:00:00
北京怡诺食品有限公司,北京怡诺食品有限公司,其他酒,完全合格,110111-2022-1-000368,26/10/2023 10:00:00
北京核都汇隆商贸有限责任公司冷饮厂,北京核都汇隆商贸有限责任公司冷饮厂,瓶(桶)装饮用水,完全合格,110111-2022-1-000380,26/10/2023 10:00:00
北京田园盛态食品贸易有限公司房山分公司,北京田园盛态食品贸易有限公司房山分公司,"冷加工糕点,其他粮食加工品,热加工糕点",完全合格,110111-2022-1-000392,26/10/2023 10:00:00
北京美时乐食品有限公司,北京美时乐食品有限公司,"饼干,冷加工糕点,其他食品,热加工糕点",完全合格,110111-2022-1-000411,26/10/2023 10:00:00
北京宇辰食品有限公司,北京宇辰食品有限公司,"豆制品,冷加工糕点,蜜饯,其他方便食品,其他粮食加工品,热加工糕点",完全合格,110111-2022-1-000483,26/10/2023 10:00:00
北京香盛斋食品有限公司,北京香盛斋食品有限公司,热加工熟肉制品,完全合格,110111-2022-1-000656,26/10/2023 10:00:00
北京腾飞工贸有限公司,北京腾飞工贸有限公司,热加工熟肉制品,完全合格,110111-2022-1-000917,26/10/2023 10:00:00
北京科汇大地农业技术发展有限公司,北京科汇大地农业技术发展有限公司,"炒货食品及坚果制品,大米,其他粮食加工品,食用菌制品,水果制品",完全合格,110111-2022-1-000998,9/4/2025 17:30:38
北京西部马华餐饮有限公司食品加工配送中心,北京西部马华餐饮有限公司食品加工配送中心,调味料,完全合格,110111-2022-1-001022,26/10/2023 10:00:00
北京元海堂食品有限公司,北京元海堂食品有限公司,"炒货食品及坚果制品,蜜饯,其他粮食加工品,食用菌制品,水果制品",完全合格,110111-2022-1-001064,26/10/2023 10:00:00
北京青龙湖金福源食品有限公司,北京青龙湖金福源食品有限公司,淀粉及淀粉制品,完全合格,110111-2022-1-001125,26/10/2023 10:00:00
北京港龙华佳食品有限公司,北京港龙华佳食品有限公司,"调味料,其他罐头,速冻调制食品,速冻面米食品",完全合格,110111-2022-1-001126,26/10/2023 10:00:00
北京青龙湖金福源食品有限公司,北京青龙湖金福源食品有限公司,淀粉及淀粉制品,完全合格,110111-2022-1-001134,26/10/2023 10:00:00
北京航天农业生物科技有限公司,北京航天农业生物科技有限公司,"茶(类)饮料,炒货食品及坚果制品,调味料,固体饮料,果蔬汁类及其饮料,其他食品,其他饮料",完全合格,110111-2022-1-001146,26/10/2023 10:00:00
北京世纪悦福食品有限公司,北京世纪悦福食品有限公司,食用植物油（分装）,完全合格,110111-2022-1-001265,26/10/2023 10:00:00
北京中禾伟业食品有限公司,北京中禾伟业食品有限公司,"热加工糕点,食品馅料",完全合格,110111-2023-1-000020,26/10/2023 10:00:00
北京汇丰源粮食加工厂,北京汇丰源粮食加工厂,"大米,其他粮食加工品,食用菌制品",完全合格,110111-2023-1-000761,26/10/2023 10:00:00
北京春香禾福食品有限公司,北京春香禾福食品有限公司,热加工糕点,完全合格,110111-2023-1-000777,26/10/2023 10:00:00
北京汇丰源粮食加工厂,北京汇丰源粮食加工厂,"大米,其他粮食加工品,食用菌制品",完全合格,110111-2023-1-000779,26/10/2023 10:00:00
北京亿惠京顺食品有限公司,北京亿惠京顺食品有限公司,"淀粉及淀粉制品,干制水产品,食用菌制品,蔬菜干制品,糖",完全合格,110111-2023-1-000780,26/10/2023 10:00:00
北京日中工贸有限责任公司,北京日中工贸有限责任公司,蜜饯,完全合格,110111-2023-1-001334,26/10/2023 10:00:00
北京普特莱斯水务科技发展有限公司,北京普特莱斯水务科技发展有限公司,包装饮用水,完全合格,110111-2023-1-001347,26/10/2023 10:00:00
北京京沃德酒庄有限公司,北京京沃德酒庄有限公司,葡萄酒及果酒,完全合格,110111-2023-1-001364,26/10/2023 10:00:00
北京盛聚食品有限公司,北京盛聚食品有限公司,"冷加工糕点,其他食品,热加工糕点,热加工熟肉制品",完全合格,110111-2023-1-001366,26/10/2023 10:00:00
北京盛鑫发工贸有限公司,北京盛鑫发工贸有限公司,包装饮用水,完全合格,110111-2023-1-001373,26/10/2023 10:00:00
北京元兰嘉腾粮油有限公司,北京元兰嘉腾粮油有限公司,食用植物油,完全合格,110111-2023-1-001505,26/10/2023 10:00:00
北京卓宸畜牧有限公司,北京卓宸畜牧有限公司,预制调理肉制品,完全合格,110111-2023-1-001590,26/10/2023 10:00:00
北京凯伦葡萄酒有限公司,北京凯伦葡萄酒有限公司,葡萄酒及果酒,完全合格,110111-2023-1-001682,26/10/2023 10:00:00
北京市福兴斋糕点有限责任公司,北京市福兴斋糕点有限责任公司,"冷加工糕点,热加工糕点",完全合格,110111-2023-1-001744,26/10/2023 10:00:00
北京张隗食品有限公司,北京张隗食品有限公司,酱腌菜,完全合格,110111-2023-1-001753,26/10/2023 10:00:00
北京隆阳宫水业有限公司,北京隆阳宫水业有限公司,包装饮用水,完全合格,110111-2023-1-001760,26/10/2023 10:00:00
北京齐悦水业有限公司,北京齐悦水业有限公司,包装饮用水,完全合格,110111-2023-1-002036,2/11/2023 22:00:03
北京齐悦水业有限公司,北京齐悦水业有限公司,包装饮用水,完全合格,110111-2023-1-002065,2/11/2023 22:01:17
北粮传奇食品（北京）有限公司,北粮传奇食品（北京）有限公司,"炒货食品及坚果制品,大米,其他粮食加工品,食用菌制品,蔬菜干制品,水果制品",完全合格,110111-2023-1-002617,21/11/2023 22:01:40
北京石花洞水业有限公司,北京石花洞水业有限公司,包装饮用水,完全合格,110111-2023-1-002811,27/11/2023 22:02:01
北京嘉雪溪水业有限公司,北京嘉雪溪水业有限公司,包装饮用水,完全合格,110111-2023-1-003381,28/12/2023 22:04:54
北京佳欣源食品有限公司,北京佳欣源食品有限公司,"冷加工糕点,热加工糕点",完全合格,110111-2023-1-003436,29/12/2023 22:00:07
北京京都苏氏餐饮管理有限公司,北京京都苏氏餐饮管理有限公司,其他粮食加工品,完全合格,110112-2022-1-000233,26/10/2023 10:00:00
北京川秀国际贸易有限公司,北京川秀国际贸易有限公司,"固体饮料,其他食品",完全合格,110112-2022-1-000248,26/10/2023 10:00:00
北京二商希杰食品有限责任公司,北京二商希杰食品有限责任公司,"淀粉及淀粉制品,豆制品,其他粮食加工品,其他食品",完全合格,110112-2022-1-000452,26/10/2023 10:00:00
蒙牛高科乳制品（北京）有限责任公司,蒙牛高科乳制品（北京）有限责任公司,液体乳,完全合格,110112-2022-1-000504,26/10/2023 10:00:00
蒙牛乳业（北京）有限责任公司,蒙牛乳业（北京）有限责任公司,"蛋白饮料,液体乳",完全合格,110112-2022-1-000519,26/10/2023 10:00:00
北京天香绿康工贸有限公司,北京天香绿康工贸有限公司,"调味料,食用植物油",完全合格,110112-2022-1-000757,26/10/2023 10:00:00
北京易典饮品技术研究所通州中心,北京易典饮品技术研究所通州中心,复配食品添加剂,完全合格,110112-2022-1-000847,26/10/2023 10:00:00
北京亚泰福源食品有限公司,北京亚泰福源食品有限公司,热加工糕点,完全合格,110112-2023-1-000189,26/10/2023 10:00:00
北京同仁堂通科药业有限责任公司,北京同仁堂通科药业有限责任公司,方便食品,本次检查发现不符合项（1）项，其中：重点项（0）项，项目序号分别是（）；一般项（1）项，项目序号分别是（2.10）。,110112-2023-1-000669,26/10/2023 10:00:00
北京同仁堂通科药业有限责任公司,北京同仁堂通科药业有限责任公司,方便食品,完全合格,110112-2023-1-002321,13/11/2023 22:01:19
北京加增食品科技有限公司,北京加增食品科技有限公司,热加工熟肉制品,完全合格,110112-2023-1-002584,20/11/2023 22:00:20
北京方圆平安生物科技股份有限公司,北京方圆平安生物科技股份有限公司,其它食品,完全合格,110112-2023-1-002589,20/11/2023 22:00:30
北京百卡弗食品有限公司,北京百卡弗食品有限公司,"调味料,其他食品,其他食品",完全合格,110113-2022-1-000364,26/10/2023 10:00:00
北京万方酿造厂,北京万方酿造厂,"调味料,酱油,食醋",完全合格,110113-2022-1-000960,26/10/2023 10:00:00
北京林水泉工贸有限公司,北京林水泉工贸有限公司,包装饮用水,完全合格,110113-2023-1-000236,26/10/2023 10:00:00
北京林水泉工贸有限公司,北京林水泉工贸有限公司,包装饮用水,完全合格,110113-2023-1-001388,26/10/2023 10:00:00
北京超凡食品有限公司,北京超凡食品有限公司,"其他乳制品,液体乳",完全合格,110113-2023-1-001452,26/10/2023 10:00:00
北京昕土地调味品有限责任公司,北京昕土地调味品有限责任公司,调味料,完全合格,110113-2023-1-001463,26/10/2023 10:00:00
北京万方酿造厂,北京万方酿造厂,"调味料,酱油,食醋",完全合格,110113-2023-1-001476,26/10/2023 10:00:00
北京百卡弗食品有限公司,北京百卡弗食品有限公司,"调味料,其他食品,其他食品",完全合格,110113-2023-1-001477,26/10/2023 10:00:00
威尔芬（北京）科技发展有限公司,威尔芬（北京）科技发展有限公司,食品用香精,完全合格,110113-2023-1-001516,26/10/2023 10:00:00
北京康一品农产品物流有限公司,北京康一品农产品物流有限公司,其他食品,完全合格,110113-2023-1-001525,26/10/2023 10:00:00
北京燕京啤酒股份有限公司一分公司,北京燕京啤酒股份有限公司一分公司,啤酒,完全合格,110113-2023-1-001536,26/10/2023 10:00:00
北京三益真食品有限公司,北京三益真食品有限公司,"热加工糕点,速冻调制食品,速冻面米食品",完全合格,110113-2023-1-002451,15/11/2023 22:00:55
北京三水保健食品工业公司,北京三水保健食品工业公司,"其他粮食加工品,热加工糕点",本次检查发现不符合项（0）项，其中：重点项（）项，项目序号分别是（）；一般项（）项，项目序号分别是（）。,110113-2023-1-002453,15/11/2023 22:01:05
北京顺利康食品有限公司,北京顺利康食品有限公司,"冷加工糕点,热加工糕点",完全合格,110113-2023-1-002455,15/11/2023 22:01:10
北京市味宝食品工业有限公司,北京市味宝食品工业有限公司,调味料,完全合格,110113-2023-1-002495,16/11/2023 22:01:01
永利达美好（北京）食品有限公司,永利达美好（北京）食品有限公司,"调味料,其他方便食品,其他食品,热加工糕点,热加工熟肉制品,速冻调制食品,速冻面米食品",完全合格,110113-2023-1-002502,16/11/2023 22:01:26
北京广顺益华食品厂（普通合伙）,北京广顺益华食品厂（普通合伙）,冷冻饮品,完全合格,110113-2023-1-002513,16/11/2023 22:01:47
北京光明健能乳业有限公司,北京光明健能乳业有限公司,"蛋白饮料,果蔬汁类及其饮料,其他乳制品,液体乳",完全合格,110113-2023-1-002829,27/11/2023 22:02:37
北京锄禾食品有限责任公司,北京锄禾食品有限责任公司,"固体饮料,其他方便食品",完全合格,110114-2022-1-000264,26/10/2023 10:00:00
北京御生堂保健食品有限公司,北京御生堂保健食品有限公司,"茶剂,茶剂,代用茶,固体饮料,口服液,片剂,糖果",完全合格,110111-2022-1-001242,26/10/2023 10:00:00
北京科汇大地农业技术发展有限公司,北京科汇大地农业技术发展有限公司,"炒货食品及坚果制品,大米,其他粮食加工品,食用菌制品,水果制品",完全合格,110111-2023-1-000788,26/10/2023 10:00:00
北京市中瑞美特食品有限公司,北京市中瑞美特食品有限公司,"炒货食品及坚果制品,大米,蜜饯,其他粮食加工品,食用菌制品,蔬菜干制品,水果制品",完全合格,110111-2023-1-000892,26/10/2023 10:00:00
北京中畅佳禾农副产品加工有限公司,北京中畅佳禾农副产品加工有限公司,"炒货食品及坚果制品,大米,其他粮食加工品,食用菌制品,水果制品",完全合格,110111-2023-1-000992,26/10/2023 10:00:00
北京市中瑞美特食品有限公司,北京市中瑞美特食品有限公司,"炒货食品及坚果制品,大米,蜜饯,其他粮食加工品,食用菌制品,蔬菜干制品,水果制品",完全合格,110111-2023-1-000995,26/10/2023 10:00:00
北京田园盛态食品贸易有限公司房山分公司,北京田园盛态食品贸易有限公司房山分公司,"饼干,炒货食品及坚果制品,冷加工糕点,蜜饯,其他粮食加工品,热加工糕点,水果制品",完全合格,110111-2023-1-001247,26/10/2023 10:00:00
北京醇荣居清真食品有限公司,北京醇荣居清真食品有限公司,"冷加工糕点,其他粮食加工品,热加工糕点",完全合格,110111-2023-1-001248,26/10/2023 10:00:00
北京蓉山食品有限公司,北京蓉山食品有限公司,"调味料,酱腌菜","本次检查发现不符合项（2）项，其中：重点项（0）项，项目序号分别是（）；一般项（2）项，项目序号分别是（2.1,2.5）。",110111-2023-1-001326,26/10/2023 10:00:00
北京御生堂保健食品有限公司,北京御生堂保健食品有限公司,"茶剂,茶剂,代用茶,固体饮料,口服液,片剂,糖果",完全合格,110111-2023-1-001361,26/10/2023 10:00:00
北京市香香唯一食品厂,北京市香香唯一食品厂,"淀粉及淀粉制品,豆制品",完全合格,110111-2023-1-001363,26/10/2023 10:00:00
北京瑞阳恒业商贸有限公司,北京瑞阳恒业商贸有限公司,"热加工熟肉制品,速冻调制食品,预制调理肉制品",完全合格,110111-2023-1-001450,26/10/2023 10:00:00
